origin,destination
"-21.030446899999973, 119.3847418999997","-21.118201499999984, 119.42036539999975"
"-21.695932499999984, 118.7265688999998","-21.655757499999975, 118.62462189999985"
"-22.911447000000045, 122.49224350000011","-22.852872750000074, 122.5782492750001"
"-34.85221640000002, 117.15665090000024","-34.84224429999995, 117.04576600000028"
"-34.63997859999986, 116.95734520000023","-34.71811119999994, 117.0015202000002"
"-21.42968839999996, 118.44999089999985","-21.333993399999947, 118.4016498999998"
"-34.81468189999998, 117.57693000000003","-34.76612089999997, 117.67781519999998"
"-21.40997139999995, 118.43908489999981","-21.505063399999973, 118.4840908999998"
"-34.87341129999989, 117.65329750000028","-34.95250299999994, 117.71243430000017"
"-34.652573000000004, 117.40592320000047","-34.739773649999876, 117.34406442500031"
"-34.688785700000025, 117.2525946000005","-34.69061039999987, 117.35945940000029"
"-33.947845700000066, 116.74829719999994","-33.93206330000003, 116.84960529999967"
"-18.27352279999998, 125.26176400000004","-18.15902679999998, 125.26952600000006"
"-31.284788599999956, 125.03815819999977","-31.172642299999957, 125.06030249999976"
"-22.49464660000012, 116.92777729999943","-22.521394500000113, 117.08616459999953"
"-31.882853099999913, 115.98397360000007","-31.97366440000014, 115.90957339999964"
"-31.82626380000002, 115.73781119999985","-31.729888399999965, 115.7187828"
"-34.585416899999856, 116.96383940000023","-34.68926589999986, 116.97093420000024"
"-21.55924039999998, 118.5159178999998","-21.637314499999977, 118.57964189999987"
"-21.624034399999978, 118.55040999999986","-21.536684499999975, 118.49808789999982"
"-34.662697900000005, 117.01468220000052","-34.687646000000015, 117.12014340000053"
"-35.0034566, 117.58364490000018","-34.90691849999994, 117.60453400000016"
"-25.625172300000195, 121.34275210000071","-25.700884599999966, 121.44024179999997"
"-31.594114599999983, 115.65209909999987","-31.50718320000006, 115.69281449999976"
"-25.4562206000002, 121.06974440000074","-25.49253770000019, 121.19317130000073"
"-32.03888719999995, 115.86113199999987","-31.996007500000314, 115.7515701000002"
"-34.68721000000007, 117.12336879999995","-34.63461429999989, 117.02414750000023"
"-32.65867659999991, 115.65489050000006","-32.52154980000003, 115.69981209999985"
"-34.72569889999992, 117.0435170000002","-34.677592799999864, 116.95789910000025"
"-20.75841059999997, 120.38107689999967","-20.686770499999962, 120.43750179999967"
"-32.036509899999885, 115.98797310000003","-31.949133000000025, 116.05920900000002"
"-31.8230641, 115.85470419999987","-31.929741799999828, 115.88347319999991"
"-32.252608400000106, 116.68968960000011","-32.24209359999997, 116.57974720000071"
"-21.147584999999978, 119.42087299999976","-21.041757899999975, 119.38612489999971"
"-32.11997300000002, 116.09243270000017","-32.16575129999991, 115.99203460000004"
"-25.531472100000187, 121.27958760000074","-25.466951900000197, 121.14856930000073"
"-34.6954955999999, 117.06833050000022","-34.757516999999865, 116.99474640000025"
"-21.63157949999998, 118.56765589999986","-21.66458949999998, 118.6825328999998"
"-18.110439699999983, 125.30877200000008","-18.014949699999992, 125.27291700000009"
"-32.11173859999999, 116.52471100000008","-32.11146600000003, 116.65691440000002"
"-34.810637999999976, 117.26558030000004","-34.764304799999856, 117.36270860000029"
"-32.23395400000003, 116.5301397000004","-32.25253190000011, 116.65798390000012"
"-34.721929131249865, 117.42547281875028","-34.674655700000024, 117.3312333000005"
"-31.953840800000002, 115.78193419999965","-32.06257369999988, 115.78512309999945"
"-21.56190049999998, 118.51678289999981","-21.458451399999962, 118.45932789999982"
"-21.52023539999997, 118.49189989999982","-21.42169639999996, 118.44620889999985"
"-26.22531559999998, 121.53776230000085","-26.215608899999992, 121.4190209000008"
"-31.801810199999995, 115.7766480000001","-31.716318100000084, 115.82504520000022"
"-34.728428599999866, 116.98214880000025","-34.639126499999854, 116.95755290000024"
"-31.867643500000167, 115.7793318000008","-31.886113100000053, 115.93294050000017"
"-22.917696900000045, 122.37257150000012","-22.907218575000044, 122.25147747500012"
"-21.65991539999998, 118.6707778999998","-21.63157949999998, 118.56765589999986"
"-21.623547499999983, 118.54697499999982","-21.534240399999973, 118.49602589999982"
"-25.535358400000188, 121.29036470000074","-25.4653658000002, 121.15515455000073"
"-22.515149000000125, 117.03983269999951","-22.513356900000105, 117.2048438999996"
"-21.551180399999982, 118.5129928999998","-21.641157399999972, 118.58767389999987"
"-18.134596799999983, 125.29838200000006","-18.05371627499999, 125.2849432500001"
"-31.97621689999998, 115.85874760000007","-31.929054500000163, 115.96012930000033"
"-25.55956230000019, 121.30180150000074","-25.49003170000019, 121.19282960000072"
"-20.17797069999996, 119.19295169999994","-20.26621049999996, 119.20314069999995"
"-20.96554399999997, 119.33174699999971","-20.87311689999997, 119.35101994999968"
"-20.26586319999987, 119.20294760000002","-20.181427899999864, 119.19574860000002"
"-34.82342149999996, 117.6880321","-34.93065869999991, 117.7066671000002"
"-33.96259130000012, 116.78539769999962","-34.05324609999999, 116.75059050000041"
"-22.90084830000005, 122.18823610000011","-22.914363900000048, 122.29856695000012"
"-34.938131124999856, 117.62294357500033","-34.906810300000075, 117.52968909999991"
"-25.55520710000019, 121.29361080000074","-25.48824040000001, 121.1897298999997"
"-34.72463719999991, 117.1967453000002","-34.7952706, 117.13730780000004"
"-22.915762300000047, 122.31010930000012","-22.90072640000005, 122.18775090000011"
"-32.04143570000004, 115.73576259999962","-32.06126410000005, 115.86208459999989"
"-22.51424880000011, 117.18898269999958","-22.513817400000125, 117.01975589999952"
"-25.50156130000019, 121.21814800000074","-25.4562615000002, 121.07216050000075"
"-26.424074599999976, 120.68765280000011","-26.5164338, 120.76330620000043"
"-21.398180399999944, 118.42224899999982","-21.485798399999968, 118.47214289999981"
"-34.87974549999991, 117.66582540000019","-34.80343949999997, 117.60071790000005"
"-21.66554149999998, 118.6853188999998","-21.635953499999978, 118.57693589999987"
"-18.14733779999998, 125.28281600000005","-18.229327799999982, 125.26465410000004"
"-22.910125100000045, 122.42217370000013","-22.90061105000005, 122.53990337500011"
"-21.529335399999972, 118.49415489999983","-21.435458399999963, 118.45231389999984"
"-25.65677570000023, 121.37689800000031","-25.55867510000019, 121.30012410000073"
"-21.73124639999999, 118.7796468999998","-21.66554149999998, 118.6853188999998"
"-26.47081289999998, 120.73667045000002","-26.57110365000001, 120.7941623500004"
"-21.69376539999998, 118.7204119999998","-21.752406499999992, 118.80549389999977"
"-31.09184674999996, 125.21850779999976","-31.143685012499958, 125.13083394999977"
"-34.76700429999999, 117.62230520000003","-34.84723579999988, 117.57308840000029"
"-34.77799499999994, 117.10086090000021","-34.8633123, 117.09981570000001"
"-21.57853339999998, 118.52344189999981","-21.646432399999977, 118.59846889999986"
"-20.677743499999963, 120.44814079999968","-20.75715859999997, 120.39294689999967"
"-34.64300100000007, 117.43980399999963","-34.671702600000025, 117.3288038000005"
"-34.947413399999974, 117.29377310000002","-34.9184217999999, 117.18353330000008"
"-31.737485500000073, 115.80110390000036","-31.84497249999994, 115.82994320000023"
"-31.13547549999996, 125.14596159999977","-31.187916099999956, 125.03918819999976"
"-26.426805599999987, 120.69275320000003","-26.5549818, 120.78733880000041"
"-34.76365099999987, 117.30899710000028","-34.82967519999996, 117.24759640000002"
"-26.24178419999998, 121.49380090000082","-26.202517799999995, 121.38488440000079"
"-21.14761099999998, 119.42737299999975","-21.056585949999977, 119.39649839999973"
"-21.01747724999997, 119.37834617499973","-20.922702899999965, 119.3344988999997"
"-31.778627999999998, 115.73368389999992","-31.80116540000005, 115.85422900000019"
"-18.317192699999982, 125.25992500000004","-18.22288869999998, 125.26506010000004"
"-31.789521550000078, 116.25974604999988","-31.832054700000096, 116.19655810000027"
"-33.79946220000007, 150.93659099999957","-33.904721900000126, 150.96724119999993"
"-33.22681669999994, 151.55235619999945","-33.28180530000003, 151.46646600000003"
"-29.488639000000347, 150.48432880000135","-29.58938609999994, 150.67838069999942"
"-30.909227799999986, 151.28772240000026","-31.041301700000087, 151.35879669999977"
"-35.27834869999982, 149.42081520000102","-35.22674210000014, 149.5611011000005"
"-34.076018999999874, 150.48940839999943","-34.038720899999944, 150.66755700000027"
"-34.078399400000016, 149.14138540000027","-34.194590099999886, 149.02897199999987"
"-32.831814299999856, 151.35755109999985","-32.851002299999934, 151.17913820000015"
"-35.12941969999994, 147.16854660000016","-35.11004629999991, 147.43477459999974"
"-32.287753900000006, 148.71446319999995","-32.195339100000055, 148.53904280000006"
"-35.175168199999945, 147.37709239999913","-35.263979800000094, 147.17941609999988"
"-33.181225600000054, 151.58244880000044","-33.02211120000029, 151.65516370000077"
"-35.30800279999999, 149.21215019999914","-35.21907170000014, 149.09732689999956"
"-30.991771500000144, 150.0984549000007","-31.001220600000032, 150.31687930000004"
"-34.524393699999905, 144.86903805000009","-34.499695600000194, 144.71857929999885"
"-34.57700906875007, 150.39645584374978","-34.461232000000095, 150.29433340000006"
"-34.47984020000153, 150.8683807999992","-34.61683530000029, 150.76935060000017"
"-31.910758199999908, 152.4505044000009","-31.903346199999977, 152.28946290000025"
"-31.13616080000015, 150.95079199999958","-31.044803099999804, 150.72894519999937"
"-33.473343499999885, 151.19195799999864","-33.450902099999865, 151.3785144"
"-33.51568019999985, 149.4168452999998","-33.40969570000009, 149.61964710000007"
"-31.204161900000106, 152.81289529999984","-31.078919599999946, 152.76236480000046"
"-29.319060900000174, 153.22881580000083","-29.38769689999996, 153.3322255000005"
"-32.15414290000016, 152.496157100001","-32.30324089999996, 152.52057069999998"
"-33.37857389999985, 149.67021799999992","-33.55254530000002, 149.52001870000004"
"-33.455057800000006, 149.8439817999998","-33.39340899999985, 149.6698661"
"-34.31051410000017, 150.51670569999908","-34.16473949999998, 150.59140180000017"
"-33.28453920000023, 151.56299469999973","-33.16170779999999, 151.4511277999997"
"-31.727230700000078, 146.89310389999986","-31.874849400000002, 146.90670270000038"
"-28.345128499999895, 153.29715290000064","-28.331674600000163, 153.4211371000006"
"-35.31030240000017, 150.4623971999995","-35.46783859999994, 150.36918709999875"
"-32.35572890000019, 148.64936874999952","-32.19555349999987, 148.6077814999996"
"-33.143873500000126, 151.5391453000004","-33.05381409999976, 151.4022085000001"
"-28.59186060000005, 153.26081810000022","-28.45932809999983, 153.19067830000014"
"-28.635621299999926, 153.63552079999974","-28.59207240000036, 153.5211518999991"
"-32.91208589999991, 151.3113285000006","-32.69535210000007, 151.34134730000025"
"-34.31066079999999, 148.92677700000021","-34.48444280000026, 148.90916699999968"
"-35.11535730000001, 149.08742260000002","-35.258212099999874, 149.04520060000016"
"-35.08871559999981, 149.21262990000076","-35.25096520000024, 149.16821019999995"
"-29.810332200000065, 152.86939789999983","-29.686644999999945, 152.93035420000035"
"-28.9789252, 150.17282524999908","-28.92063620000014, 150.07809364999977"
"-32.70387580000008, 151.4160943999999","-32.67912360000013, 151.20700650000003"
"-28.533224799999928, 153.5123519000003","-28.545725999999917, 153.41211429999979"
"-28.811752999999847, 153.33802700000018","-28.759029999999953, 153.10917559999942"
"-34.926844300000056, 150.60355810000013","-35.07498330000002, 150.69363920000072"
