origin,destination
"48.1252416000001, 16.222210600000025","48.222742000000245, 16.210060900000034"
"47.45809450000004, 9.797975500000033","47.49547470000024, 9.626786100000013"
"48.31786389999982, 16.441043200000074","48.2179537, 16.2182559"
"47.978785000000045, 16.038780799999966","47.92808030000033, 16.299569600000066"
"48.21756579999998, 16.54631419999991","48.26648380000009, 16.295446000000002"
"47.22268290000007, 9.834820600000032","47.09840170000038, 9.653015999999994"
"47.97337800000022, 15.970610100000043","47.92853680000016, 16.247732599999924"
"47.476672600000015, 9.653837500000016","47.351321100000405, 9.74427360000001"
"47.11596220000038, 9.655047399999999","47.22248540000033, 9.768532599999954"
"47.36755610000009, 12.776473899999978","47.5725997000001, 12.696585900000008"
"48.212067, 16.53880400000001","48.285288899999884, 16.19272279999999"
"47.942890499999876, 16.21979470000004","48.01071709999982, 15.943339100000015"
"48.17217510000007, 16.37661989999999","48.24392489999997, 16.161731099999976"
"48.220071400000016, 16.495750900000015","48.3009478000001, 16.27432069999994"
"48.18756290000001, 16.54302980000001","48.301667700000266, 16.281321900000027"
"48.211362600000236, 16.225129999999936","48.3030283, 16.430163599999982"
"47.45667099999982, 9.792721500000006","47.37295800000041, 9.988696800000017"
"47.33603110000007, 13.268134100000013","47.353030999999895, 12.999218600000015"
"48.20709500000002, 16.3814101","48.33608390000008, 16.22636360000009"
"47.31741850000006, 13.056256099999977","47.350201200000164, 13.312904199999991"
"47.245370200000075, 9.965763800000028","47.08958499999992, 9.652027400000016"
"47.32587790000018, 12.791993800000059","47.50901609999989, 12.762388900000008"
"48.185644500000166, 16.539715000000008","48.29119230000007, 16.310305300000053"
"47.13766350000039, 9.673120099999998","47.227772299999984, 9.858930800000007"
"48.14370060000036, 16.358124900000078","48.2530265000001, 16.168891700000003"
"48.214792400000086, 16.509546299999997","48.31577100000012, 16.23898329999999"
"47.094299799999945, 9.649083100000032","47.224945499999926, 9.876496999999986"
"48.217018800000226, 16.39070140000007","48.322034000000016, 16.209392899999973"
"48.19766969999994, 16.54426970000003","48.23345810000072, 16.287319399999916"
"47.31418399999984, 15.186507600000143","47.440084599999935, 15.019398899999969"
"48.1660604, 16.509974699999997","48.2914783000002, 16.21080629999998"
"47.32626950000018, 12.773333200000014","47.524581500000004, 12.745535599999995"
"47.6222447999999, 12.7184767","47.42547109999993, 12.84122259999994"
"48.198621600000614, 16.357512400000044","48.31806390000002, 16.178760599999993"
"47.35999320000072, 12.719894499999999","47.545026199999995, 12.719816199999995"
"48.2032506, 16.576541999999996","48.20021709999996, 16.335185099999983"
"47.086852800000166, 9.652125200000022","47.22668449999986, 9.724952500000102"
"47.50926000000014, 15.032285499999999","47.32964080000029, 15.175373899999995"
"48.23990089999996, 16.16809290000004","48.08590090000017, 16.32832949999997"
"47.565814000000024, 12.709496800000016","47.367796500000566, 12.758399599999962"
"47.13985840000009, 9.68005670000001","47.226589000000494, 9.848942300000017"
"47.33493220000016, 12.850390599999995","47.566479600000086, 12.703439000000005"
"48.25892660000004, 16.358170000000015","48.32684770000013, 16.120753299999965"
"47.245456700000084, 9.965186600000031","47.093178100000166, 9.65213310000002"
"48.259279400000224, 16.42544710000001","48.2382731999997, 16.183732400000057"
"47.18845699999977, 9.664220099999959","47.269476000000026, 9.54943309999996"
"48.196560000000055, 16.55130999999998","48.24259579999972, 16.281337299999905"
"47.09163889999995, 9.647724800000033","47.22511979999982, 9.876721800000025"
"47.994270699999916, 16.063628600000015","47.92182100000013, 16.31323280000005"
"47.48167469999999, 15.028276600000005","47.32964080000029, 15.175373899999995"
"48.34059480000049, 16.24001170000007","48.20819870000011, 16.366502900000096"
"48.17031090000006, 16.565179999999955","48.29950319999996, 16.230638399999997"
"48.246084900000035, 16.4178584","48.323058600000074, 16.187558799999998"
"48.19841169999997, 16.558715499999913","48.29430770000013, 16.295892600000037"
"47.22855390000033, 9.820249299999945","47.14013340000037, 9.679638699999996"
"47.13649300000016, 9.670829400000011","47.22219220000033, 9.777403499999952"
"47.49765849999985, 9.636074499999975","47.468069000000064, 9.79138569999999"
"48.17719580000006, 16.579326399999992","48.21938630000007, 16.263410600000032"
"48.17806820000016, 16.50941180000002","48.30855290000025, 16.267669099999996"
"48.26733700000006, 16.4567826","48.32792689999994, 16.190193600000004"
"47.40180670000009, 9.74075519999997","47.47425879999986, 9.594430600000003"
"47.508619100000494, 15.044689499999995","47.33670249999975, 15.161345799999985"
"47.34967070000006, 9.741397600000054","47.47712079999984, 9.60813670000007"
"48.18599439999962, 16.53983320000001","48.30479049999987, 16.327072800000003"
"48.17116869999981, 16.585725100000044","48.288668000000115, 16.27060650000005"
"48.217848700000076, 16.52490470000002","48.242794000000046, 16.253561299999983"
"47.345576500000035, 9.741859400000056","47.466589099999915, 9.601676100000011"
"47.3560219000001, 13.336554399999946","47.31893129999991, 13.026362599999992"
"47.09163889999995, 9.647724800000033","47.22150670000011, 9.82051510000007"
"48.18028159999984, 16.587525900000042","48.23795020000002, 16.295654800000072"
"47.13542000000004, 9.669686900000004","47.22124690000006, 9.792246500000019"
"48.20962280000016, 16.411831400000057","48.326841400000085, 16.2105825"
"47.12639450000041, 9.660145399999998","47.22608730000013, 9.813520800000068"
"48.3504880000002, 16.268077700000134","48.19935440000002, 16.35099759999996"
"47.22188660000015, 9.843526300000004","47.10673439999979, 9.654573500000078"
"48.19579839999998, 16.56585359999999","48.30027410000035, 16.234056400000014"
"47.5277608000001, 12.737040099999994","47.31066970000066, 12.817305799999938"
"47.391711399999814, 9.7761794","47.47133280000026, 9.62359430000001"
"47.50899280000005, 15.032014300000004","47.344715500000255, 15.138572000000007"
"47.99819389999989, 16.06406359999999","47.92469350000018, 16.283600200000066"
"47.94091380000013, 16.28869929999997","47.984173899999966, 15.960533899999993"
"47.4834917, 9.623778099999997","47.41763509999999, 9.767809200000025"
"47.39769429999994, 12.818619399999982","47.57073870000039, 12.677093600000028"
"47.057535700000386, 15.400021900000084","47.17762859999989, 15.58098930000001"
"48.172508999999906, 16.58679500000002","48.20899230000012, 16.343849200000026"
"48.249024299999945, 16.219352100000002","48.09406300000001, 16.276785600000007"
"48.208619599999956, 16.523802999999944","48.22326010000013, 16.247519300000054"
"48.19581540000004, 16.559260599999995","48.22529780000011, 16.331212700000034"
"48.19236590000004, 16.557754999999993","48.24006549999973, 16.32583790000004"
"48.253143099999996, 16.439018300000015","48.29577220000015, 16.19798639999991"
"48.168676799999915, 16.619443499999985","48.25875260000006, 16.4335198"
"47.21772810000037, 9.806401999999997","47.1316284000004, 9.663714899999992"
"47.56597020000001, 12.677281200000008","47.39820530000007, 12.919490100000026"
"47.409391900000166, 9.775698","47.46669389999992, 9.594324200000012"
"48.27055750000087, 16.158606300000105","48.14023559999986, 16.320852900000013"
"48.168969000000025, 16.613055699999965","48.29699550000013, 16.22719769999992"
"48.30626240000008, 16.469004499999976","48.272874799999975, 16.225050699999986"
"48.2287487999995, 16.518782199999926","48.30471810000013, 16.253937899999993"
"47.364009200000574, 12.785975399999964","47.616219499999964, 12.705694900000012"
"47.48679890000001, 15.028242600000015","47.33625410000086, 15.164641399999994"
