origin,destination
"51.263492900000195, 5.058230299999982","51.17994210000006, 5.205965000000008"
"50.5931889, 5.941197700000003","50.688969599999936, 6.134018899999998"
"50.59515670000002, 5.916164199999999","50.669958500000206, 6.09442630000001"
"50.643082300000096, 6.139366699999978","50.651793900000015, 5.953348899999998"
"50.845007100000025, 3.766887300000014","50.861216, 4.071041700000001"
"51.12179399999993, 5.308327799999997","51.19784630000005, 5.0550811000000095"
"51.14488809999992, 5.731489600000014","51.011500700000205, 5.722833700000017"
"51.19179519999991, 5.066440600000008","51.1173991999999, 5.355663100000004"
"51.013439499999876, 3.549696899999972","50.884581200000135, 3.3824548000000005"
"51.16245880000003, 5.074771299999994","51.10851040000013, 5.3668724000000125"
"51.21476439999984, 4.175279899999983","51.10606379999997, 3.9260631000000057"
"51.17065710000009, 2.7737338999999896","51.11552539999989, 2.620867300000014"
"51.20170869999987, 3.320284300000022","51.15412330000003, 3.598951999999998"
"51.1377078, 5.450155200000001","51.099691200000066, 5.190094399999972"
"51.156997700000076, 5.815096400000006","50.998449300000196, 5.686936199999991"
"51.17966480000035, 5.533758099999993","51.086545400000084, 5.7169274"
"51.135053699999816, 5.811716100000015","50.98197029999999, 5.743731399999991"
"51.17597540000062, 2.786911100000015","51.239655299999974, 2.9431009999999955"
"51.152011000000165, 5.462625200000006","51.10506589999992, 5.190833200000004"
"50.62992209999989, 5.99771470000002","50.6524158, 6.185938800000001"
"50.82338939999991, 5.362210600000007","50.94621450000035, 5.134583300000001"
"51.15716190000064, 2.787897799999999","51.224744600000406, 2.9672752000000155"
"50.468732000000244, 4.219087999999982","50.392023999999935, 3.9927334000000023"
"51.20681409999992, 3.4594160999999874","51.22304100000022, 3.2126820999999675"
"50.4577747999999, 3.952988100000011","50.39499680000005, 4.183161200000018"
"51.18283799999988, 3.587967299999995","51.207667800000266, 3.260978900000039"
"50.42576219999989, 4.23611339999999","50.40642809999994, 3.9743435999999988"
"51.17519420000014, 5.146547700000004","51.131004199999985, 5.41351339999999"
"51.19120240000018, 3.5528383000000083","51.20113320000005, 3.2244091000000012"
"50.90614149999999, 3.929451100000003","50.83000490000015, 3.6034281000000004"
"50.83659200000003, 4.2091020999999955","50.85770980000008, 3.8726123000000214"
"50.791792699999924, 3.9279309000000016","50.8297812000002, 4.255648999999979"
"50.36060280000011, 4.203920300000001","50.46532670000116, 3.9872174000000165"
"51.1554137000001, 5.689389899999999","51.00832050000007, 5.583592000000005"
"50.3902792000001, 4.088804600000013","50.417215200000165, 4.333678"
"51.03892000000018, 5.234301999999999","51.1616684, 5.417314500000001"
