origin,destination
"45.755457000000135, -60.616180399999976","45.874222099999955, -60.37931419999969"
"46.34763660000009, -60.998832600000114","46.41517390000005, -60.73634469999996"
"46.18275600000018, -60.84108469999994","46.37980539999967, -60.83818729999987"
"43.83774460000003, -65.83565770000045","44.03022869999981, -65.85023840000031"
"46.472526699999975, -60.77736909999994","46.329545799999984, -61.00151690000015"
"46.12656119999994, -61.45986750000001","45.95338499999976, -61.28863340000003"
"46.40458970000002, -60.76459709999999","46.20715840000011, -60.83218839999981"
"46.23174370000006, -60.817680399999915","46.42100080000002, -60.71577290000029"
"46.44813859999996, -60.790785999999954","46.23924070000005, -60.81809389999978"
"45.81416530000003, -60.513442700000006","45.62966529999985, -60.635448000000046"
"43.88303079999996, -66.03282830000005","44.06052699999992, -66.0000000000002"
"45.89285709999995, -60.34493340000009","45.761990800000255, -60.567649599999996"
"45.70633180000011, -60.601749299999824","45.864319300000034, -60.39630799999999"
"46.38026909999987, -60.83179539999998","46.16525340000008, -60.836010699999925"
"46.504961099999825, -60.76318100000003","46.310450999999716, -60.81989709999993"
"46.47354300000041, -60.7744645","46.24190510000001, -60.81825539999994"
"45.80800750000021, -60.578771500000016","45.90587720000031, -60.3263505000002"
"43.87845770000003, -66.02275699999967","44.06940689999991, -66.01945720000015"
"45.76688810000039, -60.589077700000026","45.892927199999974, -60.34481529999992"
"44.71473980000056, -65.36915170000003","44.72231330000179, -65.06982979999914"
"44.019525500000384, -66.07982290000004","44.164795200000036, -65.9351918999999"
"45.81265770000109, -60.522308799999934","45.64605439999985, -60.693711700000044"
"44.184375600000806, -65.91766669999939","44.00838570000002, -66.07310089999973"
"44.72584090000038, -65.37554129999992","44.72220580000178, -65.07332489999915"
"43.992688299999834, -66.00466160000008","44.1722093000009, -66.06221180000047"
"46.30349529999979, -60.82270959999996","46.52035869999995, -60.75394130000001"
"44.550484200000994, -65.67659619999999","44.42065950000014, -65.91759969999987"
"44.18761199999994, -66.04283079999973","44.008426900000046, -66.00893119999972"
"43.982887600000055, -65.9766112","44.17740290000091, -66.06613860000044"
"45.645423899999976, -60.693643300000005","45.8176068000001, -60.533971899999976"
"46.12202810000027, -60.88877750000005","46.31815310000016, -60.795752800000045"
"45.13323199999998, -63.24266579999997","45.22388790000009, -62.94252659999981"
"45.77071950000061, -60.56223200000007","45.89790459999995, -60.33611610000005"
"44.220970600000506, -66.07285399999991","44.02786269999998, -66.0090886999997"
"44.19457989999993, -66.0873602999998","44.01580750000005, -66.01114079999985"
"44.7086100000003, -65.33177949999975","44.73694290000059, -65.02885430000019"
"45.76941409999989, -60.67045119999997","45.86349090000007, -60.40281539999995"
"45.805990100000386, -60.65786599999982","45.86954249999981, -60.38468819999965"
"44.17610940000091, -66.06520330000042","44.01462110000019, -65.97597520000004"
"43.9812258000001, -65.97218169999982","44.161121200000714, -66.03271130000039"
"43.95545829999999, -65.93598479999974","44.11553339999993, -66.05308820000006"
"46.111500400001106, -60.851169800000086","46.316077400000076, -60.79764940000003"
"45.475799150000185, -63.25645059999978","45.69208410000027, -63.289496499999984"
"45.67104039999987, -60.64365489999964","45.8314277999998, -60.45820249999965"
"45.638273100000035, -63.189395899999994","45.42830920000006, -63.08202239999991"
"44.218316000000414, -66.0830448","44.0146131, -66.00361259999974"
"45.76777670000107, -60.684026199999956","45.861146999999995, -60.40796049999993"
"44.40625680000051, -65.85630329999967","44.54956520000095, -65.66359199999998"
"44.43731400000032, -65.88631239999988","44.53739200000058, -65.63632990000016"
"44.02446849999987, -65.85729890000009","43.840622899999964, -65.83140450000043"
"45.792165300001805, -60.602930800000294","45.90101270000034, -60.33026530000017"
"46.11634480000019, -60.90474120000001","46.30779089999982, -60.80494819999995"
"45.811292000000364, -60.52885639999999","45.946141200001556, -60.30975109999988"
"45.412536000001055, -61.49254589999995","45.47585029999983, -61.794240400000014"
"46.30298239999983, -60.8102140999999","46.09993650000029, -60.85196609999994"
"44.11381769999991, -66.05146920000013","43.95592379999993, -65.93503299999986"
"45.79752430000025, -60.629139399999865","45.89092630000003, -60.354276300000166"
"44.0361218000003, -66.00318480000014","44.227209000000656, -66.0879560999999"
"46.35731660000002, -60.93878730000009","46.50612060000011, -60.76297050000008"
"45.469484400000056, -61.78157179999995","45.40924080000094, -61.47830289999993"
"45.874168699999956, -60.37933989999968","45.77167230000119, -60.644598599999924"
"45.87831910000066, -60.532135099999756","45.67223889999994, -60.64177560000009"
"44.01856589999986, -65.8669535000001","43.83761150000002, -65.83584480000039"
"44.00950249999991, -66.00282069999973","44.21041990000022, -66.07356899999974"
"44.0113024, -66.06643709999966","44.18334950000078, -65.9197162999994"
"45.8922697, -60.3483205000001","45.75074320000115, -60.57425079999991"
"44.01662020000031, -66.01118570000015","44.193500199999924, -66.08474119999983"
"45.899295000000286, -60.333870900000214","45.802251100000014, -60.58922230000002"
"44.01810629999997, -66.00412219999963","44.19093889999995, -66.0489271999998"
"44.00462520000041, -66.00822459999995","44.19633459999997, -66.0912849999999"
"45.76795440000107, -60.67624559999998","45.86674659999993, -60.3932969999997"
"44.04100530000036, -66.00214739999993","44.207522000000054, -66.11559849999979"
"44.6881335, -65.009522","44.7178628000008, -65.30780330000016"
