origin,destination
"45.52872200000022, 16.74909220000001","45.63981950000003, 16.63677960000006"
"43.15143719999997, 16.890238100000015","43.12479429999977, 17.196006900000008"
"45.28794619999991, 17.14921570000004","45.519985199999745, 16.886839199999944"
"45.25952810000051, 14.251490300000041","45.39455009999995, 14.325068299999995"
"43.14416950000006, 16.824816599999988","43.12924479999975, 17.190193399999966"
"43.14454990000006, 16.806571499999993","43.13321660000004, 17.16058470000008"
"43.44155919999986, 16.65463509999999","43.530602499999986, 16.293158100000067"
"43.609927199999994, 16.68548990000008","43.7126316, 16.400532200000065"
"43.16065439999985, 16.746234899999983","43.12807250000051, 17.088987799999998"
"43.42935349999992, 16.866372300000062","43.48716830000008, 16.574898800000163"
"43.72816449999998, 16.440992299999877","43.6267876, 16.741275800000018"
"45.9361162000006, 16.952221199999958","45.780424199999956, 16.641524800000013"
"45.693694199999854, 16.38382670000002","45.82720690000004, 16.73717190000005"
"43.1480398, 16.791254500000022","43.13090720000099, 17.18695600000009"
"45.790337699999775, 16.79852509999994","45.69792730000005, 16.4313583"
"43.62648530000007, 16.70351300000001","43.707791900000004, 16.40775800000006"
"45.29368660000042, 18.95119920000004","45.17348089999989, 18.651126100000027"
"45.87164950000002, 17.291582799999997","45.69666740000001, 17.673170199999962"
"45.52420929999997, 15.972756700000001","45.71861979999997, 16.192718600000184"
"45.83680480000009, 16.785143700000052","45.65577650000007, 16.476794899999955"
"45.70485109999997, 16.502626599999992","45.85443899999997, 16.84581099999994"
"45.71331200000009, 16.418354999999984","45.76356239999999, 16.803848200000026"
"45.15457760000014, 18.586285299999954","45.25735760000004, 18.94978679999996"
"43.15615270000003, 16.873298399999925","43.127480599999764, 17.193469999999973"
"43.15213060000007, 16.88986790000003","43.12879650000027, 17.176338500000043"
"45.73063320000021, 16.496974500000004","45.82725779999998, 16.874928900000025"
"45.78703889999983, 16.839449299999952","45.73412880000009, 16.449889599999963"
"45.68263540000063, 16.33516089999995","45.79610440000004, 16.697451400000034"
"45.223047600000854, 18.409655600000015","45.214845000000025, 18.746288299999993"
"43.122640800000276, 17.17607230000005","43.143853600000035, 16.836737899999985"
"45.83172560000003, 16.764964200000055","45.72932580000022, 16.409250699999987"
"45.16676710000014, 18.60282479999995","45.25115447499998, 18.98119277500001"
"45.28534709999999, 18.94849820000003","45.172618800000144, 18.62305619999995"
"43.693852800000094, 16.438207799999986","43.63046460000002, 16.747502999999924"
"45.75634440000001, 16.34804779999998","45.80854440000004, 16.739707100000043"
"45.166798299999975, 18.55531910000004","45.266077200000055, 18.86042260000001"
"43.732127599999814, 16.351884299999924","43.656696900000846, 16.657529199999953"
"43.14529190000006, 16.801389099999987","43.1324189, 17.163278999999978"
"43.459031500000215, 16.60648469999991","43.529122500000014, 16.300140400000068"
"45.287176400000355, 18.059438599999904","45.34940270000026, 18.45449640000006"
"43.122346200000266, 17.179219900000053","43.14529190000006, 16.801389099999987"
"45.691582400000314, 16.40013140000006","45.78201220000002, 16.753697099999982"
"45.66487350000004, 17.663966399999968","45.829797700000206, 17.367225000000115"
"45.85886229999992, 17.297134699999795","45.68364090000003, 17.671612799999963"
"45.258858399999994, 18.937520900000052","45.164315999999985, 18.59951110000005"
"45.79508200000016, 16.69972359999998","45.64804620000006, 16.336584200000065"
"43.72305249999996, 16.37860079999989","43.72163370000022, 16.69886840000009"
"43.618010000000005, 16.677374100000062","43.73241710000007, 16.35175689999997"
"43.7198933, 16.400914900000064","43.72684540000002, 16.70881289999994"
"45.94942949999991, 17.224331200000005","45.80366140000044, 17.55263850000006"
"43.703458999999995, 16.419921200000058","43.634608100000115, 16.711363800000036"
"45.884901700000064, 16.8461207","45.717622900000315, 16.519454700000015"
"45.843164699999924, 17.299933999999787","45.69523960000008, 17.696936300000015"
"45.25207539999997, 18.988165299999913","45.210591599999994, 18.629658400000054"
"45.870076300000036, 16.90159129999997","45.72431090000004, 16.54981649999997"
"45.14707420000014, 18.585060499999955","45.27217709999994, 18.921230999999985"
"45.674470200000115, 17.65730449999999","45.84516529999993, 17.34449130000009"
"45.298843500000025, 18.031518499999994","45.3173129999999, 18.402128300000008"
"45.288749900000354, 18.0553037999999","45.382796600000034, 18.415096899999956"
"43.12358180000058, 17.10948279999998","43.155820999999975, 16.747080199999992"
"45.21369069999994, 18.40776829999998","45.20988640000002, 18.748967499999992"
"45.07685039999992, 18.490409099999844","45.299293799999944, 18.67140040000016"
"43.55963159999988, 16.356501699999985","43.439271800000284, 16.669410800000026"
"45.87679600000001, 16.86708889999997","45.662293499999976, 16.604871300000067"
"43.44117720000002, 16.653401899999995","43.54917469999998, 16.34070240000001"
"45.874275300000015, 16.838130499999913","45.710265400000004, 16.535176599999996"
"45.729837600000245, 16.495437600000013","45.879389400000136, 16.822254299999987"
"43.71060359999997, 16.400942299999915","43.61673530000003, 16.68036890000006"
"45.30497090000023, 18.045345699999938","45.34458990000011, 18.443477599999998"
"45.63763469999997, 16.348267699999962","45.78176669999998, 16.688667000000038"
"45.91165439999996, 16.84765319999997","45.69388940000023, 16.6064954999999"
"45.85208910000018, 16.882925099999994","45.71189240000009, 16.52517889999999"
"43.7151344, 16.691524199999993","43.725764299999966, 16.373850499999893"
"45.28389009999991, 18.65883429999986","45.0754187000002, 18.477055799999977"
"45.29807350000019, 18.109525599999927","45.30432560000033, 18.47726280000006"
"43.729014399999905, 16.397375799999924","43.71419439999983, 16.735411399999958"
"43.14020680000003, 16.855654699999995","43.13077040000099, 17.18742500000009"
"45.85343820000003, 16.850693599999975","45.72126000000023, 16.495733000000012"
"43.72202159999996, 16.383147999999885","43.63202039999999, 16.725172100000044"
"43.14151749999994, 16.853307300000015","43.126132399999776, 17.183991099999965"
"43.132127200000106, 16.87284330000002","43.127480599999764, 17.193469999999973"
"45.77599459999978, 16.80513399999995","45.69745280000006, 16.4240647"
"43.16060929999998, 16.746179900000023","43.1286377, 17.07435300000002"
"45.295363199999905, 18.661610099999855","45.062794800000034, 18.511395600000004"
"43.13163369999999, 17.16959629999998","43.14271369999993, 16.811167000000005"
"45.164786800000144, 18.600165099999952","45.28068139999993, 18.92881359999998"
"45.70854720000003, 16.479888599999946","45.835119800000044, 16.866475699999985"
"45.96532019999994, 17.217159899999814","45.807998200000306, 17.516581099999943"
"43.48878990000069, 16.542740500000097","43.403322699999855, 16.81093640000001"
"45.704959599999924, 16.195459000000007","45.5063114, 15.977213500000008"
"43.14767819999999, 16.797433000000016","43.127319800000066, 17.123820900000073"
"45.08060719999978, 18.482156799999967","45.274541500000474, 18.693047200000052"
"45.80158509999994, 17.49923519999996","45.97090200000015, 17.200888499999962"
"45.68658330000004, 16.59948079999993","45.90156670000003, 16.854599999999994"
"45.16728420000015, 18.60353169999995","45.27810509999994, 18.926109899999986"
"43.14268960000006, 16.811304199999988","43.13285000000059, 17.146418499999978"
"45.52870799999999, 18.306101899999952","45.52078989999978, 17.939988799999895"
"45.7136968999999, 16.495479799999995","45.86227870000021, 16.829064800000083"
"45.77442440000004, 16.741554299999954","45.69797669999987, 16.377895600000024"
