origin,destination
"66.72422519999976, 26.512018400000013","66.76899150000006, 26.975381600000055"
"62.76923590000005, 30.139768900000067","62.8509147000001, 30.232148199999955"
"61.79880330000044, 22.43970180000007","62.004178500000755, 22.460678999999967"
"66.9366813999997, 26.862019900000025","66.87948609999988, 26.33058289999994"
"62.00606340000077, 22.43221099999997","61.813156600000184, 22.38525009999998"
"66.72474660000013, 27.08912760000008","66.77082589999996, 26.59843200000001"
"60.35251399999983, 22.112221900000158","60.42707129999979, 22.137038000000018"
"60.45615979999983, 22.209676899999966","60.37395179999973, 22.12048940000003"
"66.61839970000011, 26.33691939999998","66.80899279999993, 26.567944500000007"
"66.93091270000045, 26.710538800000055","66.65468259999983, 26.50528279999997"
"66.81245920000006, 27.02546350000007","66.79141969999998, 26.642386500000004"
"60.45459029999991, 22.333078000000018","60.3519553000003, 22.200608100000046"
"66.85492030000005, 26.368955100000072","66.93233200000007, 26.716865499999994"
"66.66021370000016, 26.45429059999997","66.84783530000017, 26.568475600000053"
"66.9847811, 26.659261400000027","66.80225050000017, 26.57751650000004"
"66.87613150000013, 26.603984100000034","66.63734405000007, 26.441732550000005"
"66.63911690000016, 26.544369799999938","66.79431170000001, 26.77734550000001"
"66.69118930000008, 26.766431999999977","66.88969659999964, 26.44661080000002"
"61.167618999999824, 27.024998200000073","61.150902699999946, 26.84579399999998"
"66.91961460000024, 26.444202400000012","66.70074029999998, 26.472737900000027"
"63.20706760000029, 28.713949900000102","63.28000130000007, 29.067806499999964"
"66.90656569999965, 26.238229300000015","66.89940635000025, 26.621453600000024"
"66.7964056, 26.752847700000007","66.89440550000022, 26.405902400000013"
"66.88103509999965, 26.48717560000002","66.71639349999995, 26.939976500000007"
"66.71419380000053, 26.594875100000056","66.9466528000003, 26.498074999999965"
"66.77765469999991, 26.779508699999997","66.89802919999993, 26.389780700000042"
"66.68982599999974, 26.49967530000002","66.7248365999998, 26.984996999999932"
"66.94045610000045, 26.72218400000006","66.78983089999997, 26.796888400000025"
"66.67409430000022, 26.740154099999913","66.91359540000043, 26.64023220000005"
"66.88294730000014, 26.61092530000003","66.68447060000027, 26.797113599999893"
"66.92146440000008, 26.3135437","66.72431229999982, 26.731191799999987"
"66.62792100000001, 26.381264200000025","66.7963646999999, 26.753455099999993"
"66.70718740000002, 27.11011909999998","66.68065770000003, 26.555897"
"66.80997950000018, 26.567814100000042","66.7664587000001, 27.046156000000078"
"66.67721130000005, 26.609766500000056","66.7620292000001, 27.017509100000087"
"66.61431769999993, 26.320734699999928","66.79688779999998, 26.819278300000022"
"66.9877551, 26.660763399999986","66.85198690000004, 26.38245680000008"
"66.72730920000014, 27.09375140000008","66.68427219999998, 26.70099079999999"
"66.68608430000006, 26.477966300000006","66.87081010000004, 26.521215400000013"
"66.7384407999997, 26.569461300000036","66.72562780000004, 27.15960200000003"
"60.391690599999976, 22.344004600000066","60.35452960000004, 22.285541699999975"
"66.95269690000049, 26.836464200000066","66.89544829999996, 26.381076900000043"
"66.73861499999985, 26.62449070000001","66.86830939999993, 26.23944189999993"
"66.70942649999992, 26.81923419999996","66.85192140000004, 26.521084900000012"
"66.94645070000009, 26.77598039999999","66.79008679999997, 26.65948090000001"
"62.36074590000017, 26.29783720000003","62.414275999999795, 26.121301799999955"
"66.73020209999993, 26.80335079999997","66.87496090000003, 26.51129140000001"
