origin,destination
"47.51113189999989, -0.17171229999996626","47.484253800000715, -0.06575649999999572"
"48.38729560000054, -0.3709651000000074","48.43321870000005, -0.25621179999999716"
"47.93052890000012, 0.9240306000000211","47.928279549999935, 1.0384020500000035"
"48.21221189999996, -0.15336740000000063","48.14020539999984, -0.04565899999999428"
"48.067771799999875, 1.257365","48.02390419999974, 1.322598199999987"
"47.80463690000042, -0.4887434999999928","47.732972099999984, -0.4899948000000096"
"48.48861819999886, -1.2806761999999985","48.41506539999991, -1.2089101999999974"
"47.70567820000009, -0.45564010000000205","47.7538515999998, -0.5269348000000036"
"47.71003510000001, -0.7060427","47.75633009999917, -0.6350699999999911"
"49.05797239999973, 0.38516919999997185","49.10779490000001, 0.3144727000000008"
"47.90333260000003, -0.8830984","47.83152519999997, -0.8500619000000054"
"47.48403300000013, 0.07694590000000455","47.46025649999982, -0.02626129999999636"
"47.3164076999998, -0.35695530000001474","47.288177499998966, -0.2827615000000153"
"47.45939539999906, -0.17215520000000598","47.539249599999636, -0.31662100000000065"
"47.55548879999993, 0.26119179999999653","47.625294599999165, 0.22699860000002658"
"47.66169360000002, -0.7439349999999965","47.591459500000205, -0.6699839000000001"
"48.514714999999924, -1.0940134999999986","48.43946510000021, -1.0975199999999927"
"49.05885710000018, 0.46043639999999686","48.98310250000003, 0.4949004"
"47.9350567000001, 0.7436533000000007","47.935370399999876, 0.6360027999999904"
"48.10281540000007, 0.9681720000000154","48.17205160000008, 0.9354644000000036"
"48.62861629999991, -0.2552073000000076","48.77578310000003, -0.36186959999999685"
"47.78229350000009, -0.7076142999999898","47.5611081999996, -0.7101490000000102"
"47.53520430000006, -0.4928669000000276","47.50856779999971, -0.13278870000000612"
"48.21110840000019, 0.28067539999999963","47.97040190000007, 0.056614299999995794"
"49.15920400000005, 0.20330069999997175","49.06253840000006, -0.02500840000000867"
"49.05797239999973, 0.38516919999997185","48.866712900000046, 0.3074806000000195"
"49.20563009999993, 0.09240419999999538","49.06752159999951, -0.09928209999999782"
"48.02066030000014, -0.34152340000001197","48.01840960000017, 0.1304007000000097"
"47.2979039, -0.42519170000001905","47.33528180000007, -0.21159830000001617"
"47.90411420000003, -0.630418699999998","47.834589699999064, -0.886137799999998"
"47.539249599999636, -0.31662100000000065","47.389367499998635, -0.21049119999998567"
"47.62372399999987, 0.4804980999999992","47.625294599999165, 0.22699860000002658"
"49.01453010000015, 0.013718999999990074","49.00960219999985, 0.34685679999999713"
"49.13096260000005, 0.38730020000000476","49.25672969999856, 0.28096410000000216"
"47.96208510000002, 0.49161020000001265","47.959511999998455, 0.7795448000000181"
"48.098450499999956, -0.9875628999999948","48.147192099999806, -0.7012142999999903"
"48.68478419999698, 0.7745999000000071","48.717626799999955, 0.48554670000000094"
"47.51880129999898, -0.3867431000000008","47.61504699999994, -0.7436719999999976"
"47.70710239999999, -0.27520969999999956","47.560210599999465, -0.1371240000000032"
"48.00041209999847, 1.1421045999999861","48.189043800000306, 1.1571665000000049"
"48.34010750000002, -0.573107200000001","48.02894569999926, -0.6271565000000029"
"48.51972890000035, -1.3489456000000013","48.25701550000002, -1.1937412999999997"
"48.229188400000055, 1.1647639999999975","48.24009350000007, 0.5957585000000013"
"49.02684009999994, 0.09863150000002367","48.94026759999984, 0.5466771000000051"
"48.115850600000115, -0.727960099999995","48.36072360000001, -1.1145060000000078"
"47.451502999999924, 0.0030738000000045777","47.50637640000008, -0.5257856999999841"
"47.31245360000005, -0.27909779999999007","47.56151770000019, -0.5579955000000009"
"47.940165900000025, 0.8420702000000025","48.054366200000025, 1.2406860999999985"
"47.37084729999994, -0.5587174999999893","47.39999260000003, -0.023428399999999815"
"48.09864759999884, -0.49670240000000665","48.0530144, 0.3295381999999998"
"47.35048589999986, -0.53190569999999","47.78084040000013, -0.14121820000000362"
"48.202996099999275, -1.1684452000000056","48.53459429999966, -1.2991574000000077"
"48.08622429999964, 0.4878043000000142","47.766463999999885, -0.11431940000000729"
"47.855927399999985, -0.6800126999999997","48.27306650000008, -0.9335134000000002"
"48.036679100000065, 0.48293750000000746","48.02414739999996, -0.2135863999999977"
"49.25166009999975, 0.16102330000002074","49.02139060000002, 0.4434142000000276"
"47.285451399999125, -0.35691770000002315","47.528388500000005, -0.6592580000000083"
"48.477392100000166, -0.09757139999999503","48.5024966, 0.605399700000002"
"48.736854199999684, -0.19671339999999482","48.847322599997554, 0.328900900000025"
"48.999381299999875, -0.32065140000001924","48.74363089999979, 0.09392709999999027"
"49.21116994999768, 3.7322228999999982","49.16903809999744, 3.798086099999993"
"48.079432799999964, 4.2396172000000245","48.07976439999997, 4.1337606000000005"
"48.58241780000019, 3.4256128000000046","48.56114709999995, 3.591125900000002"
"48.7329493999999, 3.82129939999999","48.713591999999586, 3.688951199999999"
"48.88215450000011, 4.023936600000006","48.90471889999904, 4.159539800000007"
"48.32674950000005, 4.896423699999995","48.37232169999995, 4.996314499999999"
"48.08448520000003, 3.7818959999999993","48.1684191000009, 3.784347100000002"
"49.57911869999865, 4.131166100000008","49.57635700000006, 4.234386400000004"
"48.10327039999933, 3.523975499999988","48.042385199999906, 3.5233947999999904"
"48.58269609999925, 3.4927304000000055","48.515278900000105, 3.459054499999996"
"49.298148199999986, 3.9951741999999926","49.22998439999897, 3.899675599999989"
"49.01698870000006, 4.326295700000006","48.92200399999995, 4.452703999999994"
"48.316915500000036, 4.141768799999999","48.39389570000008, 4.087556599999998"
"48.906785599999864, 4.843147799999992","48.88111539999954, 4.9773904000000195"
"48.41334370000033, 5.356035200000001","48.411439400000134, 5.253534800000003"
"48.524279399999976, 5.291012499999994","48.490132499999966, 5.419610899999994"
"48.741555700000085, 3.792007099999995","48.71661129999958, 3.6556256999999874"
"48.08642499999844, 3.555757999999997","48.16869830000029, 3.5853829000000172"
"48.41583249999977, 5.161579900000016","48.3276601999994, 5.119368700000002"
"48.27617230000019, 3.8512844999999967","48.23811340000007, 3.7495403999999994"
"48.88304900000003, 4.515393600000004","48.86571960000001, 4.349711699999994"
"48.20659849999998, 4.789710500000008","48.29857310000003, 4.986929900000018"
"48.33470909999752, 4.1074306000000105","48.166929900000014, 4.304547600000007"
