origin,destination
"48.75653369999993, 9.216932199999986","48.82473369999994, 9.152635200000017"
"53.39511600000001, 8.708477599999993","53.48773059999998, 8.733756700000018"
"48.19823940000009, 11.423117399999994","48.21640159999988, 11.559985100000043"
"51.56975930000014, 7.050069299999985","51.480786799999954, 7.047311500000006"
"53.07979260000008, 8.873001699999971","53.14319280000005, 8.98776270000005"
"49.56059489999981, 6.896349500000013","49.539927299999874, 6.758478200000016"
"48.08485579999993, 11.512027099999987","48.10151029999987, 11.613920800000027"
"51.9475989, 8.683952699999992","52.03191830000021, 8.76404530000004"
"51.85848649999994, 14.04320179999995","51.84130130000006, 14.183167299999994"
"51.17943409999997, 14.38292439999998","51.0807170000003, 14.436514199999959"
"53.23281079999999, 8.109425300000009","53.29421519999987, 8.25234590000008"
"51.615333400000054, 7.0853767999999935","51.525135099999815, 7.120222299999985"
"51.20505030000007, 7.6804668000001115","51.18554280000024, 7.502684899999986"
"47.68063940000012, 11.805236999999993","47.76281769999987, 11.707387899999963"
"51.614899499999964, 7.122654599999981","51.68231000000004, 6.945428499999978"
"51.347167400000075, 7.044577399999989","51.434485300000006, 7.188669500000014"
"51.01269190000019, 13.853492699999906","51.10814880000016, 13.762892900000042"
"52.48388510000004, 13.272520400000007","52.554366400000035, 13.174470099999995"
"51.1387964999999, 14.053600200000064","51.22371390000001, 13.963718199999983"
"53.27623770000049, 8.139618099999968","53.25506240000005, 7.991717000000005"
"53.12556669999993, 7.7249207000000135","53.1298807000001, 7.4644606999999725"
"51.57670800000021, 14.710842900000035","51.47980080000016, 14.77571679999998"
"53.25601770000001, 7.8774510000000495","53.2770594000001, 8.029856399999952"
"50.64333249999994, 12.62575060000003","50.72561970000064, 12.742851000000044"
"53.22880780000007, 8.997560499999985","53.123464099999964, 8.913238099999992"
"52.18231950000124, 9.139093999999966","52.31572019999982, 9.186630400000041"
"51.29403540000023, 7.755368299999955","51.24963050000065, 7.611732999999963"
"52.37367020000001, 12.888078599999998","52.40853030000009, 13.042204400000013"
"51.9626039000001, 7.711334000000013","51.92165619999994, 7.565781899999995"
"52.18599679999986, 13.426673600000008","52.27956490000013, 13.4182282"
"51.21173859999992, 7.148008099999957","51.14403240000014, 7.217208400000041"
"52.729229499999924, 7.302212500000031","52.83820340000019, 7.5271455000000085"
"48.13434120000017, 11.418638500000045","48.16723149999993, 11.655065000000011"
"51.04067920000012, 14.462656000000038","51.093513200000096, 14.29599599999999"
"54.152476100000285, 11.766216300000027","54.086084800000194, 11.839177699999999"
"54.146187000000076, 11.862512800000001","54.13634969999996, 11.655131500000003"
"52.305832800000054, 14.56082619999996","52.3778996999999, 14.50311179999994"
"50.74859660000014, 12.28572809999999","50.835242700000066, 12.440107800000005"
