origin,destination
"37.90786179999999, 21.392328099999997","37.82727500000006, 21.22219970000003"
"39.689731700000024, 20.660671300000004","39.83228430000013, 20.495373900000068"
"39.5148193000001, 20.394385800000084","39.70536630000009, 20.329982200000018"
"37.919670599999904, 21.39359409999994","37.88587940000013, 21.110944600000035"
"37.128855499999865, 21.930035899999762","36.9941892999998, 22.154932299999782"
"40.90888830000027, 21.931824900000016","40.82082059999992, 22.094378899999985"
"37.8384527, 21.530087700000074","37.654803099999974, 21.407596200000008"
"39.853434900000096, 20.442924099999985","40.02373609999997, 20.433563799999966"
"37.04657940000002, 22.024948600000073","36.881539700000005, 21.92462859999997"
"39.80013720000003, 20.519859900000064","39.97790059999989, 20.40650769999998"
"37.88474299999979, 24.019517499999992","37.804100800000015, 23.797679099999982"
"36.173624100000005, 28.098443400000065","36.329387000000004, 28.199486299999947"
"37.72621459999993, 22.754766300000007","37.487257100000186, 22.725101900000034"
"37.023229699999874, 22.13152519999993","36.95830360000008, 21.925041699999984"
"37.936083100000005, 21.4221945","37.93758570000003, 21.135987899999993"
"37.823267999999985, 21.346734600000026","37.62503170000026, 21.439803000000104"
"40.62856919999998, 23.43880569999998","40.546804700000244, 23.59136809999994"
"37.62506219999995, 22.712864899999992","37.41802430000019, 22.765257899999895"
"37.056259299999994, 22.165901200000018","37.06142119999999, 21.896083599999955"
"39.59567939999976, 20.307241200000043","39.65338119999999, 20.506831600000044"
"38.36606040000002, 23.63185349999995","38.296200799999966, 23.888718599999986"
"39.51447819999982, 20.223738000000075","39.66473790000008, 20.319081400000027"
"37.6506777, 21.505329600000046","37.833323200000024, 21.369733200000034"
"37.96222660000009, 23.696256799999986","38.078439000000024, 23.954503999999982"
"37.01484470000002, 21.873546799999982","37.06419480000017, 22.130531999999974"
"37.039797300000046, 22.13044330000002","36.96659380000013, 21.90486029999996"
"36.99368890000009, 21.851442899999974","37.07208009999998, 22.087395700000005"
"39.65665460000006, 20.116181599999994","39.60449359999994, 20.318597000000032"
"37.85579930000006, 23.744973899999955","37.90174179999986, 23.974131699999997"
"38.673145400000244, 23.55047909999991","38.48551119999997, 23.63863610000009"
"39.7002364999999, 20.326640899999987","39.53498820000008, 20.394787399999817"
"37.00089380000013, 21.94857289999999","36.83310310000021, 21.91421259999996"
"38.58566069999992, 23.772673300000076","38.65949780000023, 23.556091999999936"
"38.30795719999997, 23.86771069999999","38.31755139999985, 23.59598819999999"
"39.30088819999991, 20.765820399999985","39.163070000000005, 20.9295807"
"36.18861190000005, 28.076820400000027","36.33806229999994, 28.19960509999998"
"37.89182310000024, 24.00528439999984","37.83143190000002, 23.776090199999988"
"37.055261499999986, 22.17243770000003","37.07774160000015, 21.928576799999973"
"37.916779799999965, 21.156992200000015","37.8934730000002, 21.425324699999972"
"39.726242499999934, 21.593541199999976","39.556519900000055, 21.93075749999994"
"41.01149350000006, 23.85433129999995","40.957277999999995, 24.151921600000065"
"37.67940609999973, 21.302671299999897","37.78662879999987, 21.496527899999993"
"37.03869389999997, 21.841467100000017","36.8725874, 21.922752399999993"
"37.98250719999982, 23.841304500000046","38.1406175999998, 23.714559400000077"
"39.88467550000004, 20.47105549999986","40.064963900000045, 20.43444419999993"
"37.066298599999904, 22.144434299999986","37.12327070000015, 21.915137599999976"
"39.83329290000003, 20.498562499999935","40.048121699999875, 20.432937499999966"
"39.40562460000001, 20.49340120000001","39.56914160000023, 20.56189339999989"
"38.03088589999983, 23.68950890000003","38.06846240000006, 23.916448099999894"
"40.8881545, 21.851045499999923","40.88399880000022, 22.029128200000027"
"39.48512579999985, 20.260981000000093","39.65943780000001, 20.242878200000007"
"37.056235200000046, 22.120101300000073","37.00461340000015, 21.894846200000007"
"39.29856319999984, 23.123770100000026","39.389078199999766, 22.907175400000156"
"38.082153800000086, 23.909004900000014","38.11580410000003, 23.676587199999993"
"36.9606837, 22.190235400000162","37.032168400000025, 21.983063899999955"
"36.68834079999995, 22.386023200000018","36.83908040000018, 22.273206500000025"
"40.87517630000023, 21.795361899999993","40.86410870000023, 21.976404700000046"
"38.13739599999978, 23.719466800000056","38.029677800000044, 23.971026800000004"
"38.29655619999999, 23.908204000000037","38.34941160000006, 23.667067499999995"
"37.8215454, 23.807531699999952","37.90767350000002, 24.006362399999958"
"37.90383129999998, 23.725589899999985","38.04801730000011, 23.893122700000102"
"40.79503360000005, 22.041731100000046","40.899909100000016, 21.83420490000002"
"40.03832349999978, 20.468131499999892","39.873584800000096, 20.39425599999996"
"39.526504800000616, 20.317488499999982","39.704796000000094, 20.320662499999987"
"37.05303650000005, 21.897491399999982","37.074737300000436, 22.11018770000001"
"39.9892971, 20.418010499999966","39.807239000000074, 20.519447499999995"
"39.32789350000007, 20.612654100000007","39.50615250000014, 20.549636399999997"
"37.54362029999987, 21.825231300000027","37.5548739999999, 21.58896080000003"
"39.98539869999986, 20.41520539999996","39.8184841999999, 20.449272799999964"
"39.335115800000096, 20.76721119999999","39.13949839999997, 20.753244600000034"
"40.86806209999986, 21.779879300000005","40.85577120000011, 21.96418850000003"
"37.93897000000012, 21.143301100000027","37.90998859999986, 21.40423850000001"
"37.016735700000005, 21.952137800000052","36.78682310000019, 21.941580900000044"
"38.04843960000021, 23.679712499999976","38.09072540000007, 23.940567399999956"
"40.837005999999825, 21.896669299999907","40.81911700000023, 22.087388900000004"
"37.53329020000027, 22.576414300000014","37.505729500000214, 22.318689400000025"
"37.043298300000096, 21.941727700000076","36.847206399999976, 21.921702300000018"
"37.838658500000015, 23.776169400000015","37.882456900000044, 24.00509829999999"
"39.67143900000003, 20.40896460000005","39.55379350000006, 20.240333099999972"
"39.474036200000334, 20.49356109999991","39.58691050000006, 20.328611400000067"
"39.67343850000014, 21.68046710000005","39.459272499999976, 21.69657320000001"
"39.4583902999998, 20.27286049999996","39.61981549999971, 20.264927300000082"
"37.52742019999992, 22.73172509999994","37.72591629999999, 22.72451120000001"
"41.00313180000008, 23.88989929999998","40.97728919999999, 24.116723599999975"
"39.42151449999987, 22.941910000000043","39.29847430000027, 23.12387679999997"
"36.99241880000013, 21.856469799999978","37.048012700000115, 22.099695100000165"
"36.874928300000164, 22.240583899999947","36.72911749999991, 22.334656600000073"
"37.998024300000125, 23.644330599999897","38.09236029999998, 23.8882085"
"40.685411100000074, 21.494706399999927","40.81514650000019, 21.3930181"
"40.79532099999987, 22.03120109999998","40.89661840000011, 21.815939999999983"
"37.85784810000008, 21.26961170000001","37.94030430000015, 21.49028510000013"
"40.70179260000013, 21.48649340000002","40.775417800000135, 21.31640989999999"
"38.029597799999905, 23.721985500000034","38.070876900000066, 23.956728400000014"
"37.01006260000012, 21.883125900000024","37.01505609999992, 22.153238199999937"
"38.340563700000025, 23.619043800000004","38.30758519999997, 23.8587666"
"39.987793100000104, 20.55457149999998","39.874996600000124, 20.400160299999968"
"40.912661700000264, 21.926484000000034","40.77271340000001, 22.0232022"
"37.845909100000135, 23.81867419999998","37.894922399999956, 24.03690669999997"
"40.8109225000003, 22.063486599999955","40.8992068, 21.863506899999955"
"39.39754150000002, 20.481894500000028","39.560393400000116, 20.561458300000005"
"40.99898910000006, 23.876945499999902","40.94501829999979, 24.144134900000005"
"41.12928199999983, 25.392111500000066","41.23374939999986, 25.429395900000017"
"37.682074800000045, 21.304678599999992","37.8099047, 21.510923400000095"
"39.54859809999996, 21.685709500000023","39.56554280000002, 21.964566199999975"
"39.16808500000021, 20.985348299999973","39.11427479999998, 21.22560470000007"
"36.979005899999976, 22.163194999999874","37.02412419999996, 21.948189099999983"
"40.03335169999974, 20.436400899999875","39.87621520000004, 20.409665300000032"
"39.723592700000346, 20.34418290000013","39.52727260000007, 20.34960199999999"
"37.96967540000001, 23.729338000000084","38.07863200000019, 23.91644349999989"
"37.504577299999895, 21.8774009","37.594504300000004, 21.653431800000032"
"36.936494200000126, 22.2039336","37.06808349999997, 22.023408999999976"
"36.847960300000146, 22.25572199999998","36.70856129999983, 22.38537199999999"
"37.035093100000076, 21.927460800000016","36.970350899999936, 22.16053570000006"
"38.0716977000002, 23.735110299999942","38.09747189999983, 23.975495800000015"
"37.96291119999989, 23.599594599999914","38.0449672000001, 23.88472210000009"
"40.91386510000007, 21.814280800000017","40.7569702999999, 21.857508499999987"
"37.63931009999995, 21.568545299999933","37.556783399999865, 21.814030800000037"
"39.82465400000018, 20.441257099999962","39.99673739999998, 20.422105999999975"
"37.83081439999996, 23.786571799999955","37.869161300000016, 24.005977800000007"
"40.89821479999992, 21.800085799999977","40.82950170000011, 21.971678900000043"
"39.84181130000004, 20.54248700000001","40.01455890000002, 20.4455861"
"37.80629640000005, 23.799730099999934","37.987966899999996, 23.69727410000002"
"39.74755280000021, 20.48960129999999","39.89219540000007, 20.392395900000025"
"37.03040680000029, 22.14145030000006","37.01619889999992, 21.911382899999953"
"39.51890229999982, 20.240594900000076","39.640900300000176, 20.38776779999998"
"40.744946500000076, 21.84953750000002","40.89799179999991, 21.805462599999974"
