origin,destination
"48.082773200000005, 19.7937231","48.0835443, 20.049346"
"47.5267715, 18.870740400000003","47.526541200000004, 19.1409632"
"47.7462152, 19.0729241","47.5887375, 18.9164891"
"47.6106977, 18.9041096","47.4855481, 19.0280473"
"47.635972800000005, 18.829958700000002","47.495152000000004, 18.971854800000003"
"48.092686500000006, 20.780741900000002","48.093162, 20.4885685"
"47.620908, 19.041558300000002","47.701, 19.1228389"
"47.516334400000005, 18.9745223","47.5158919, 19.167100400000002"
"47.4421637, 18.996757000000002","47.6133808, 18.9956366"
"47.601879700000005, 18.916261600000002","47.468973000000005, 19.048519900000002"
"47.4459658, 19.0406888","47.628888, 19.0400871"
"47.4431505, 18.9845371","47.568038800000004, 19.110096000000002"
"47.4909291, 18.9612683","47.6065406, 18.9602188"
"47.739532600000004, 19.084487300000003","47.583161800000006, 18.927276900000003"
"47.711733300000006, 19.0864076","47.5568516, 18.931732500000003"
"47.4374574, 19.1211942","47.5751143, 18.9826745"
"47.5648464, 19.0930618","47.4284801, 18.9566778"
"47.5222569, 18.9435465","47.5227633, 19.1613246"
"47.435763800000004, 19.103994200000002","47.5737718, 18.966791800000003"
"47.60934, 18.9894649","47.4378675, 18.990685600000003"
"47.5112764, 18.9172663","47.6728241, 19.0794681"
"47.5606194, 19.104697","47.3990091, 19.1043632"
"46.217337, 20.070965","46.1447562, 20.144666400000002"
"47.618501800000004, 18.886309800000003","47.480530800000004, 19.0229961"
"47.5758943, 18.883889800000002","47.667074, 18.7937648"
"47.492859200000005, 18.9361885","47.625934400000006, 19.0704457"
"47.499526100000004, 18.976476400000003","47.4983177, 19.216054800000002"
"47.418268100000006, 19.0369156","47.600663700000005, 19.037934200000002"
"47.413969200000004, 19.168492","47.5714009, 19.0107019"
"47.559942, 19.096282600000002","47.4008849, 19.097418700000002"
"47.5606772, 19.097844900000002","47.401974100000004, 19.0987294"
"47.6563091, 18.793700100000002","47.574691400000006, 18.8744735"
"47.5368422, 19.0462789","47.7783099, 19.0466944"
"47.4125627, 19.0829637","47.5708465, 19.0826458"
"47.6357992, 18.8953008","47.500701400000004, 19.0314213"
"47.4629945, 18.9827707","47.6185394, 18.984011900000002"
"47.5719623, 19.013600200000003","47.405535400000005, 19.0143738"
"47.4225554, 19.0679082","47.5520629, 19.066599200000002"
"47.569580800000004, 19.017004","47.406771400000004, 19.0157358"
"47.6797416, 19.0709108","47.5440034, 18.9350682"
"47.5032994, 18.935066300000003","47.635070500000005, 19.0668027"
"47.542716500000004, 19.1221229","47.5423552, 18.911853400000002"
"47.5994486, 18.919505","47.469535900000004, 19.0483082"
"48.089938200000006, 20.7766144","48.088630300000005, 20.4924387"
"47.54104, 18.965753600000003","47.4042747, 19.1013482"
"48.1310244, 20.0456697","48.1298273, 19.6098117"
"48.0546875, 20.493507","47.863663700000004, 20.3028833"
"48.1472971, 20.068663400000002","48.1463145, 19.7257971"
"48.114563100000005, 20.7893569","48.113717300000005, 20.579809100000002"
"48.053557700000006, 20.4820873","47.8849681, 20.3137599"
"48.1044951, 20.485325800000002","48.103519600000006, 20.8153264"
"48.109425, 20.6682442","48.209450700000005, 20.5687533"
"47.5577133, 19.079888500000003","47.400789800000005, 19.0805979"
"47.5598127, 19.0946399","47.403503900000004, 19.093765"
"47.4453644, 18.9765461","47.5817418, 19.1124607"
"47.4739255, 18.9881216","47.6141063, 18.9885758"
"47.4048293, 19.0973191","47.52847310000001, 18.9742202"
"47.6915105, 19.0650505","47.4830346, 19.066278"
"48.090771700000005, 19.8274556","48.089639700000006, 20.046131600000002"
"47.695545900000006, 19.0518739","47.491173800000006, 19.051687400000002"
"47.616213200000004, 19.044056400000002","47.4814401, 18.9085028"
"47.600886100000004, 19.0166337","47.7967372, 19.017021500000002"
"47.445597500000005, 19.1044893","47.5702925, 18.979089300000002"
"47.518543, 18.9588578","47.6246044, 19.0637621"
"47.4614756, 19.144601400000003","47.6154153, 18.9901388"
"48.086758800000005, 20.7586605","48.086215200000005, 20.4918625"
