origin,destination
"16.51109099999998, 81.96142940000007","16.414570200000043, 81.83013899999973"
"31.813298899999793, 76.94007570000005","31.71303819999998, 76.92559359999976"
"25.627951300000046, 85.03957760000016","25.501879699999765, 85.10563799999971"
"19.616024300000056, 81.96240349999982","19.60981367500005, 81.76964344999983"
"21.999415000000003, 76.15718150000001","22.200787599999977, 76.03847759999948"
"16.90691999999992, 81.75487339999948","16.739273800000042, 81.85053570000022"
"11.542978500000011, 77.17255069999975","11.694650900000001, 77.12466869999989"
"22.315084500000026, 88.48685809999996","22.42430299999998, 88.42113920000016"
"11.921295800000097, 79.83284009999981","11.825123300000012, 79.76108559999965"
"17.354614999999995, 73.82364500000003","17.429851300000017, 73.65628590000021"
"10.03352029999999, 77.32835359999999","9.992714999999992, 77.48374519999977"
"26.029343799999936, 85.48492780000002","26.09159049999995, 85.59451029999991"
"23.283313000000017, 71.77775899999979","23.12486900000002, 71.78372499999985"
"16.512256800000007, 81.93341130000006","16.65772639999995, 81.9407073"
"22.560874300000034, 75.36410689999951","22.404062000000003, 75.48369959999982"
"9.737016600000029, 77.18219520000052","9.661280499999988, 77.12602690000007"
"23.157978000000018, 71.79333799999984","23.291324300000138, 71.8058310999999"
"25.00242149999995, 80.48954430000076","25.136572599999976, 80.5349028000001"
"11.961032000000065, 79.73589949999932","12.039523499999998, 79.87285000000006"
"34.183034099999965, 74.88328319999998","34.09276920000014, 74.90951819999962"
"28.91292989999989, 73.50181469999964","28.984520500000002, 73.60619070000006"
"16.78111220000001, 81.77489069999999","16.93700440000012, 81.77232379999974"
"31.694521799999986, 77.14614440000003","31.818727099999826, 77.17241570000026"
"16.66430479999997, 81.92827829999968","16.49231979999995, 82.02217919999961"
"16.6574283999999, 81.97121510000129","16.479184999999966, 81.99081029999978"
"30.667976900000014, 75.56363300000014","30.627928700000023, 75.44016949999991"
"25.218872800000078, 82.95948219999975","25.365937100000146, 82.96151649999948"
"31.6871848999999, 76.82593610000019","31.59866610000002, 76.85387269999997"
"10.024927999999996, 77.02215720000015","10.019255900000003, 76.88004169999999"
"13.18224799999983, 76.47451050000001","13.30406699999992, 76.53623219999984"
"32.60427829999992, 76.08807950000015","32.47009879999984, 76.2175576000002"
"11.936332299999975, 79.68930390000045","11.91209389999995, 79.51194929999988"
"23.183624899999906, 88.91531120000016","23.22595590000002, 88.70846099999996"
"26.78748810000002, 80.9583024000003","26.936881400000026, 80.95834739999974"
"16.46759969999997, 81.8788979000001","16.346724600000222, 81.75984349999993"
"25.289226000000365, 83.13599369999963","25.367459000000004, 82.94480350000016"
"26.922625700000008, 80.93959810000014","26.761171700000027, 80.92195630000002"
"12.847134100000005, 77.64822849999975","12.997288600000026, 77.6226530999997"
"23.719765399999996, 72.17853430000045","23.83036239999996, 72.15650340000005"
"30.019597400000112, 77.30890810000061","29.85920900000007, 77.2712450000001"
"13.916122100000022, 75.5831400000002","13.774218500000002, 75.7449827000002"
"25.095147799999936, 87.77425199999998","25.246488899999907, 87.62206990000003"
"28.925855499999887, 73.51976549999964","29.020346800000002, 73.59997310000016"
"11.6067485, 77.12829950000001","11.778469400000011, 77.08480709999985"
"23.29018410000003, 69.66066170000009","23.24760649999997, 69.75292909999997"
"22.895417600000034, 88.47611130000048","22.945557100000002, 88.63036430000004"
"25.505875399999955, 85.05620190000013","25.590768800000003, 85.25174980000001"
"23.499455000000044, 85.03417840000009","23.41472319999997, 85.25513790000015"
"19.96204189999991, 85.67926300000009","19.901285600000037, 85.82254099999925"
"29.878419799999964, 79.679832","29.829608300000025, 79.82007799999991"
"25.651564500000063, 84.93117749999936","25.574368699999983, 85.11608509999988"
"11.914549099999926, 79.79622460000057","11.785736700000024, 79.72974669999981"
"23.658196300000064, 86.44289480000023","23.82085840000006, 86.43333280000013"
"31.3934174, 76.76333499999974","31.536465500000016, 76.61798240000005"
"22.469166000000023, 75.41738799999982","22.320286299999985, 75.48935849999988"
"11.932457400000011, 79.74996510000011","12.007803399999949, 79.85814920000058"
"11.859020899999974, 79.81533639999985","12.045669199999992, 79.87439259999972"
"22.96085029999996, 88.4355984000001","22.959599299999937, 88.65098329999974"
"16.434263999999995, 81.94326369999985","16.345085700000002, 81.7670525"
"24.02185390000005, 85.33534149999991","24.016707700000005, 85.50023170000019"
"16.669228999999945, 82.05233149999997","16.682208799999938, 81.89202280000023"
"22.96191289999995, 88.63563170000043","22.880615900000056, 88.47298210000002"
"22.536489299999992, 88.33944420000027","22.43294639999988, 88.47150500000008"
"22.672162800000002, 88.40893920000006","22.560588500000087, 88.37616380000013"
"22.42316089999997, 88.43754930000013","22.562656100000076, 88.35975680000003"
"12.981318999999967, 77.65290119999972","12.86373820000007, 77.60244690000026"
"16.571590799999957, 82.17557790000002","16.580424500000003, 82.02864430000017"
"23.362278400000037, 88.66164479999972","23.244800400000194, 88.61188879999993"
"11.753572399999983, 79.77463060000036","11.960640499999958, 79.79853199999984"
"16.731555799999953, 81.9000372000001","16.566194699999844, 81.99780950000041"
"16.587439099999887, 82.26782860000037","16.50542500000003, 82.14014460000026"
