origin,destination
"53.28011630000011, -9.152106199999997","53.27726079999993, -8.927711599999961"
"53.235786099999906, -6.208058199999961","53.34091320000039, -6.176790399999972"
"51.907839499999966, -8.514681500000025","51.936670200000066, -8.36212499999999"
"53.27810040000008, -8.829938000000002","53.25827669999995, -9.08334669999998"
"53.21676640000017, -6.196635799999944","53.340509899999795, -6.182810500000022"
"54.516991200000085, -6.059231299999995","54.504278199999774, -5.901650600000013"
"53.25679139999989, -6.373390400000014","53.20973350000002, -6.196817899999991"
"51.94139370000006, -8.446040200000033","51.89212599999991, -8.597731899999992"
"54.61294919999999, -5.817949900000023","54.55959589999999, -5.865695200000011"
"53.310823000000084, -8.898189599999938","53.24767799999987, -9.210697699999978"
"52.716859100000086, -8.666518899999996","52.67337470000002, -8.537252399999986"
"51.91402679999991, -8.337696199999968","51.943423399999915, -8.512839799999956"
"53.42045880000004, -6.215665699999998","53.31258350000007, -6.2566175000000275"
"51.95702469999995, -8.344421100000002","51.91403740000018, -8.554716899999939"
"54.25661070000005, -8.430633700000014","54.27818709999992, -8.600397400000094"
"53.24137819999991, -8.928976000000047","53.28146790000001, -9.123982999999997"
"54.486656999999965, -5.930418899999997","54.558028000000036, -6.0246064999999955"
"53.337252300000024, -6.239823300000001","53.23978910000018, -6.226803299999995"
"53.35160910000004, -8.9369785","53.262776200000374, -9.110557699999935"
"53.32157029999987, -8.913020799999996","53.26136559999982, -9.139248300000023"
"51.93045019999999, -8.3230196","51.90886509999993, -8.529338799999975"
"51.95947080000016, -8.336329099999967","51.943928400000395, -8.649243400000026"
"53.37626469999992, -6.390920799999952","53.363419200000095, -6.251685699999997"
"53.33193269999987, -6.338940900000011","53.33851090000002, -6.185957699999981"
"53.31977679999996, -8.856688700000007","53.2628468000003, -9.12473690000001"
"53.520480699999894, -6.076614300000002","53.45238470000001, -6.171086999999977"
"54.535994499999966, -5.897196199999999","54.61158509999997, -5.887967300000017"
"51.8829876000003, -8.488803700000025","51.95863300000001, -8.511110800000004"
"53.3720161, -6.053825700000001","53.4438887999999, -6.173448000000009"
"54.53617790000015, -6.113260300000014","54.538706199999666, -5.9394348999999815"
"53.32996210000012, -6.2690465999999905","53.26647199999975, -6.359191399999999"
"53.38081570000069, -6.053188100000015","53.38803380000002, -6.249378899999999"
"54.518408899999926, -5.898464900000021","54.558762500000135, -6.039683700000035"
"53.28696399999985, -9.011889700000001","53.249633000000365, -9.225309099999988"
"53.299713099999984, -8.902766700000004","53.27997889999998, -9.138677799999993"
"51.915052500000016, -8.3778723","51.93506790000018, -8.582378199999969"
"51.901359400000054, -8.542577799999977","51.95482710000003, -8.356950399999988"
"53.38859399999987, -6.123063899999998","53.3022134, -6.229193299999989"
"53.270944999999905, -6.275098499999994","53.19113730000011, -6.16983030000001"
"53.629137199999946, -6.21166439999995","53.520113199999926, -6.076706800000001"
"53.259444300000446, -6.389598800000012","53.200728600000375, -6.198240499999975"
"53.27821279999996, -6.231329899999994","53.185403300000125, -6.18680739999999"
"53.230423000000016, -6.108443999999996","53.33389, -6.213456399999978"
"54.47766630000019, -5.904263100000018","54.57930469999986, -5.921450800000036"
"54.51841809999984, -5.884746399999982","54.57467839999997, -6.0229811999999985"
"51.938145299999974, -8.350490600000015","51.89143080000021, -8.48852350000004"
"54.49476240000003, -5.900028599999997","54.61056210000008, -5.859844799999946"
"53.30202509999776, -8.971142400000005","53.25150799999998, -9.140297100000005"
"54.639189700000045, -5.878009699999984","54.57736559999984, -5.8778352999999495"
"53.266422699999914, -6.189868299999987","53.37135209999999, -6.166805999999987"
"51.920561600000084, -8.310668700000011","51.94926500000007, -8.498464000000029"
