origin,destination
"36.834098000001255, 14.730825400000027","36.824779500000126, 14.837289999999998"
"45.711283000000144, 9.545212300000033","45.77304320000005, 9.459943699999958"
"40.88745539999993, 15.745422000000037","40.94710300000013, 15.637985599999956"
"45.5178315999997, 12.68642309999995","45.61507269999995, 12.755163600000099"
"42.52892940000007, 12.445477700000009","42.546312899999954, 12.645355299999977"
"39.18257080000008, 9.158074299999978","39.240008499999824, 9.223161100000004"
"45.71037380000007, 9.626382000000037","45.646765700005346, 9.788675599999854"
"41.79471579999973, 12.456669300000016","41.908219900000006, 12.545780700000005"
"38.16983660000018, 15.247550299999963","38.251507400000825, 15.251272100000037"
"45.455201699999996, 10.279414400000023","45.33979169999999, 10.354386000000062"
"40.41676719999999, 17.9597713","40.53701660000033, 17.941489199999964"
"45.27498090000045, 7.986009600000029","45.2168344, 7.735167300000002"
"41.02060470000279, 14.638590200000072","41.111033799999824, 14.611415600000019"
"44.87346860000001, 11.067037900000004","44.75813980000001, 11.01616920000002"
"45.73201089999999, 12.182711700000015","45.82069670000002, 12.189333900000006"
"45.64629859999994, 8.748941100000025","45.546967200000005, 9.117708700000003"
"45.46799810000044, 9.989474300000062","45.60969729999988, 10.08077639999994"
"42.2203521999999, 14.56829070000003","42.31347599999998, 14.439209300000016"
"44.76018419999996, 10.935380800000004","44.76579880000028, 10.811835099999971"
"45.717721500000046, 9.294677700000003","45.629925400000076, 9.329975200000048"
"45.68797810000006, 11.88361659999996","45.74266790000017, 11.973115200000018"
"42.21293850000017, 14.584994300000021","42.28722339999984, 14.480326800000048"
"39.14192580000004, 9.40055740000003","39.182700000000025, 9.34669390000005"
"40.40864229999999, 17.20385730000002","40.39189809999988, 17.263226200000016"
"44.58866290000012, 10.962254599999968","44.70038479999993, 11.012325399999947"
"43.546342100000054, 13.551473800000009","43.647451500000045, 13.358843900000016"
"44.25746609999999, 7.545801","44.36912610000015, 7.5171091000000265"
"45.486270400001025, 10.2809249","45.577348700000236, 10.205314099999983"
"45.57399829999984, 9.200288999999962","45.4838217000001, 9.364399699999995"
"40.930445099999886, 14.240146699999988","40.90046940000004, 14.032551700000056"
"46.05595189999995, 13.26450639999999","46.115800899999996, 13.232363299999987"
"40.41157840000019, 14.99083669999998","40.27896329999985, 15.123738999999944"
"45.811735000000326, 9.004137800000008","45.694585599999776, 9.080976099999985"
"45.19440780000019, 9.143269900000035","45.08218140000163, 9.097735200000098"
"45.80694380000004, 9.338186999999996","45.715363400000314, 9.41779219999997"
"37.80203919999994, 12.424857499999948","37.90156959999976, 12.471324199999959"
"45.278969600000664, 7.488162999999971","45.24754419999982, 7.570868899999983"
"45.5386003, 9.367359000000002","45.483607500000026, 9.323073799999994"
"39.219040000000305, 9.183975299999997","39.21786230000001, 9.297100300000032"
"43.78299950000001, 10.459324699999923","43.8675209999999, 10.54675440000011"
"45.07131419999998, 7.609454300000024","44.983801100000115, 7.5608487999999845"
"44.84943499999985, 10.115556399999958","44.911599999999765, 9.952201999999936"
"41.94315140000002, 12.431022600000043","41.90363230000028, 12.662234000000055"
"39.5413581000009, 15.887113100000066","39.67797850000107, 15.815183899999909"
"43.795877499999854, 7.737689599999978","43.832259299999976, 7.862254899999985"
"45.60919870000011, 8.911581300000016","45.7874997000001, 8.834854299999968"
"41.64490879999979, 12.434783900000003","41.58624530000002, 12.499360799999998"
"40.01924920000007, 18.16311769999999","40.087982600000245, 18.059067400000032"
"36.662345400000014, 15.057325399999986","36.733706400000266, 15.12325759999999"
"45.72126580000018, 9.127041900000053","45.66239990000001, 9.164849300000016"
"41.48979019999991, 14.618674800000065","41.6051396, 14.592652999999999"
"45.76433000000011, 12.100892500000006","45.67612459999983, 12.134186199999967"
"41.490209500000105, 12.702491700000024","41.419308800000124, 12.7492939"
"45.67146610000026, 8.706051299999954","45.73149639999994, 8.623936299999999"
"45.76285830000015, 13.653135899999981","45.693483699999945, 13.738916900000042"
"42.12771790000005, 14.698851800000012","42.038741399999935, 14.839967700000011"
"45.361455899999925, 8.071207699999995","45.50760890000154, 8.074070800000012"
"39.134778100000105, 16.067655899999973","39.25892810000094, 16.05695610000002"
"38.21094159999985, 13.2882581","38.149904699999766, 13.307542900000092"
"37.35813579999998, 15.090048899999976","37.48983209999995, 14.947847799999934"
"44.317802099999895, 12.342038699999952","44.232800100000034, 12.375736400000003"
"41.933668200000014, 12.626819999999995","41.88096729999999, 12.504320499999999"
"44.685276999999964, 10.600994500000022","44.60137570000103, 10.551850600000003"
"46.47333150000025, 13.671399400000052","46.51484930000016, 13.533131600000022"
"45.34930740000026, 10.939727099999985","45.38147589999998, 10.815137599999971"
"45.82079390000002, 8.667773200000005","45.87713080000011, 8.597537599999997"
"40.80745060000002, 14.728820499999992","40.75406749999982, 14.68464010000001"
"37.31227609999997, 13.602204500000015","37.2911023000001, 13.48974910000002"
"46.7671264000005, 11.946339600000037","46.85765549999995, 11.949401299999952"
"44.48699970000004, 7.437282000000017","44.46075180000011, 7.271552400000008"
"45.789981599999884, 8.620871800000012","45.70187540000011, 8.664635799999978"
"45.55828919999995, 12.162299800000048","45.465337300000165, 12.238496799999924"
"44.68425520000018, 10.71948129999999","44.57644859999998, 10.632860400000006"
"45.54484770000013, 9.241376200000019","45.63062730000004, 9.28859099999994"
"40.38550040000031, 17.99375050000002","40.36751630000046, 18.1835353"
"39.20252390000012, 8.505449999999923","39.2013714000007, 8.621340199999999"
"44.60200560000011, 11.328225499999984","44.48373949999999, 11.283277800000036"
"45.648681899999914, 12.091702100000013","45.68337280000011, 12.007080599999949"
"36.77904400000014, 14.547628799999995","36.81947009999999, 14.458645900000015"
"45.78592809999987, 8.876860199999964","45.756028000000164, 9.000267500000035"
"40.07597729999996, 15.552672699999942","40.04277269999979, 15.457966799999987"
"42.82049460000005, 11.008296799999973","42.81130149999991, 11.165459000000006"
"45.822603700000194, 12.734321099999987","45.7550945, 12.85410380000003"
"45.428136899999984, 9.32022569999999","45.45743590000142, 9.197174800000008"
"44.955440199999906, 7.566415100000004","45.10133309999983, 7.567903200000006"
"41.1796540000005, 14.456329800000011","41.29740899999997, 14.438567699999995"
"45.70235239999986, 12.221380600000042","45.78754499999996, 12.271373800000006"
"45.94120610000007, 8.588805900000017","45.96326990000113, 8.462717900000058"
"36.78020700000005, 14.576059800000019","36.74985180000065, 14.655225399999948"
"44.65243860000007, 10.640388399999978","44.65135649999992, 10.760727499999954"
"45.65044980000018, 11.41926840000001","45.588682299999896, 11.500254100000005"
"42.33858440000005, 13.2588786","42.47536410000012, 13.260935900000009"
"45.67763079999992, 12.092291399999995","45.645151500000004, 12.1726465"
"46.00294569999987, 8.491110899999997","45.94047419999997, 8.463345700000033"
"38.1653784000001, 14.74835240000003","38.06618150000111, 14.640317600000124"
"41.93966000000006, 12.509178299999997","41.945456099999774, 12.391229899999983"
"40.778884699999985, 14.725595500000008","40.72784110000022, 14.642301000000035"
"46.116884400000046, 12.092942500000007","46.0916185000001, 12.005990199999951"
"40.417376299999994, 17.381151999999986","40.40494379999999, 17.229158900000026"
"41.17969060000001, 16.372778599999986","41.32835789999963, 16.28456850000001"
"45.07078190000023, 7.692088000000007","45.01205309999987, 7.732441099999985"
"36.73451740000038, 14.901278499999982","36.69490200000012, 14.955814899999972"
"36.82671089999999, 14.801895899999943","36.79033679999972, 14.90547679999991"
"37.52271319999991, 15.11596719999997","37.510584799999954, 15.059841399999987"
"44.18366250000014, 8.368253899999939","44.15648540000015, 8.286353800000027"
"45.7374347, 12.055703099999999","45.70307060000004, 12.178495999999948"
"45.75751360000008, 8.835089900000016","45.66977590000225, 8.830211099999984"
"41.02353430000048, 14.55521329999998","41.00369260000007, 14.443504999999954"
"41.08615830000087, 13.898053999999997","40.99345460000001, 13.961051000000076"
"41.967007199999706, 12.551251099999922","41.9180161, 12.349789499999968"
"44.659546599999985, 9.651646500000007","44.623179899999684, 9.734721599999963"
"39.1899916000001, 9.165856800000025","39.24991560000003, 9.147167200000025"
"39.2637041999998, 9.491740199999995","39.15183910000011, 9.558633099999991"
"38.25968280000011, 15.594848800000001","38.16963840000024, 15.55001309999999"
"40.453986100000286, 18.22052879999996","40.385803500001636, 18.30151039999999"
"41.127581499999906, 13.912893899999975","41.02461760000022, 13.923156999999955"
"45.625119199999794, 9.452149800000027","45.651651299999855, 9.623998000000025"
"44.37768700000018, 11.725015199999966","44.315614200000205, 11.800819"
"45.367328300000125, 11.853708300000081","45.48267200000014, 11.863080499999992"
"46.54129290000001, 12.099034500000032","46.46162290000069, 12.211402899999984"
"45.4838217000001, 9.364399699999995","45.48596050000001, 9.239899299999998"
"45.72662639999976, 13.433488299999992","45.81487029999991, 13.36564550000002"
"45.466630100000806, 10.863698399999997","45.31844369999981, 11.025816100000007"
"39.140022099999996, 9.560364300000018","39.1288107, 9.442617700000026"
"40.63080920000001, 17.879901400000065","40.640848300000336, 18.019192599999926"
"45.04442639999995, 7.319519899999967","45.043467800000165, 7.443191600000023"
"44.182055499999954, 8.286318300000026","44.10374270000006, 8.238651600000072"
"41.288692399999555, 13.262770100000028","41.4042686999999, 13.201561099999964"
"44.98515899999999, 7.526128999999998","45.01449099999989, 7.44684280000001"
"45.5880862000002, 9.869735900000016","45.58133100000213, 10.078151300000012"
"44.77571839999994, 10.563665699999977","44.79980780000004, 10.689990700000033"
"44.5649261000001, 10.715723700000023","44.645838599999806, 10.885559399999941"
"41.065803400000085, 14.489255499999889","41.20768399999983, 14.468123200000036"
"38.270247399999775, 15.649614399999964","38.239521000000124, 15.579737499999945"
"44.45867659999994, 11.199176100000054","44.48123630000009, 11.364484500000014"
"40.7523291000008, 14.414081699999961","40.659485700000076, 14.413323899999979"
"41.520291900000075, 14.153482899999949","41.60341570000008, 14.240342800000041"
"45.83740230000001, 13.493912599999998","45.93340970000001, 13.382306499999924"
"44.317802099999895, 12.342038699999952","44.43850260000009, 12.263895199999991"
"45.89820660000042, 12.36446789999996","45.87408479999988, 12.279303199999992"
