origin,destination
"43.13542099999822, 142.20702600000013","43.19528599999974, 142.21748999999977"
"37.558859400001076, 139.83289400000012","37.320685999999874, 139.78265599999992"
"31.723155000000087, 130.41626899999946","31.617796599999988, 130.56247830000038"
"43.42331799999997, 144.28462800000082","43.344457000000034, 144.22557199999991"
"36.128402500000014, 138.95150660000024","36.255590099999985, 139.15695389999902"
"37.55084299999996, 139.77449000000163","37.3398909, 139.72905800000026"
"35.53551149999991, 139.08414810000016","35.46886610000096, 138.79938310000077"
"36.35971790000005, 138.95121339999918","36.334483399999975, 138.71738670000002"
"43.78376499999889, 142.68530899999982","43.8122069999992, 142.8402649999995"
"33.087930999999536, 129.8295539999997","33.1134918999997, 129.98565319999977"
"36.38092399999946, 138.8477490000005","36.57415479999979, 138.85311859999916"
"35.22646759999843, 135.351428499999","35.010096399999036, 135.37520180000084"
"35.71373940000013, 139.54097100000052","35.56881890000005, 139.40357670000103"
"33.292796599999704, 129.84590640000073","33.05196830000009, 129.84231730000008"
"35.70393260000012, 139.44708109999863","35.805917999999615, 139.26476079999927"
"36.71905399999969, 138.8681640000003","36.60289510000001, 139.04563689999998"
"35.19426379999991, 137.46118109999986","35.218983099999825, 137.68485260000043"
"32.88523139999936, 130.95860469999965","32.92622799999892, 131.16201400000034"
"35.61584060000016, 134.46499510000032","35.451797999998185, 134.56748199999976"
"34.9055304, 139.8700587999996","35.066273699999066, 140.04503580000065"
"35.92945070000003, 139.17860879999992","35.832896999999974, 139.36195449999983"
"37.33336399999984, 139.75026899999997","37.59824809999969, 139.8273260000006"
"35.49020299999658, 134.54698799999983","35.55777050000002, 134.3452672"
"31.369170000000068, 130.38988999999955","31.399392400000284, 130.18396750000093"
"39.79633530000021, 141.34556270000036","39.720518899999924, 141.12009710000055"
"32.86727899999966, 130.9481350000004","32.94537930000015, 131.140382099999"
"34.35277200000022, 132.95076900000012","34.28476120000019, 132.7456442000003"
"33.079529599999496, 129.8152277","33.24658739999996, 129.88904969999894"
"35.8987877000001, 140.09342239999987","35.77890569999989, 139.9109459999999"
"35.89293450000012, 139.33569299999942","35.97337680000036, 139.1211728000009"
"42.984679400000225, 141.3463738999994","42.80410109999999, 141.33505530000028"
"31.65873300000044, 130.43022200000067","31.766520000000455, 130.5999709000004"
"31.770258000000045, 130.45729999999992","31.59167380000037, 130.46371210000058"
"44.20369299999925, 141.71050599999984","44.120749999998075, 141.7696379999996"
"26.70682200000006, 128.26877000000044","26.640866999999822, 128.14253799999994"
"33.995832700000214, 134.60483750000014","33.79497900000039, 134.60943600000084"
"35.92754349999985, 140.0039833000007","35.84126109999999, 140.19993519999954"
"33.38886110000003, 134.2130509999998","33.59567309999904, 134.33678960000015"
"32.94824800000014, 131.38485400000033","32.93518979999976, 131.13992820000144"
"40.48334900000011, 140.27645599999974","40.32108200000001, 140.297298"
"44.05043799999848, 141.73993999999954","44.14470799999981, 141.76661499999986"
"33.061807000000165, 129.8187760000006","33.2382367, 129.84433539999992"
"35.79648489999987, 139.0441783999995","35.78591239999994, 139.28504059999963"
"35.06259399999889, 135.27751900000015","35.249755999999266, 135.294961000001"
"35.82063080000005, 139.0809365000001","35.79313859999999, 139.30910250000053"
"35.172951799999765, 135.30965149999912","35.330761999999396, 135.18830199999985"
"33.21856399999987, 129.83265299999994","33.31427799999925, 129.7344119999999"
"35.41324299999858, 135.068560000001","35.45538299999975, 134.82087099999987"
"34.032121000000096, 134.04066100000014","34.16623050000008, 133.90363569999997"
"34.20515700000017, 132.21022020000032","34.38385420000007, 132.1166991999997"
"35.50350199999967, 134.93911000000026","35.298767999999875, 135.08200599999998"
"35.507279099999934, 138.99737930000012","35.56937470000127, 139.25097420000048"
"35.81047770000001, 139.1315854000003","35.88352620000047, 139.34596889999955"
"41.71574769999992, 140.9876760999995","41.763967299999926, 140.72967489999996"
"33.0917575, 130.13060330000053","33.264363999999766, 129.98846100000023"
"26.766286000000086, 128.27568000000016","26.640278999999875, 128.23980739999996"
"33.382965299999874, 134.21244909999993","33.61028199999899, 134.35974709999962"
"35.07201009999996, 135.33611950000042","35.24611789999961, 135.2840947999997"
"31.534806000000113, 130.47319999999982","31.461215000000404, 130.3485939999997"
"33.1745599000001, 130.18855120000023","33.160567999998975, 129.96444499999942"
"33.23771299999962, 129.92194599999948","33.065331999999806, 130.02116499999923"
"34.905054400000004, 139.87160280000006","35.051636400000035, 139.99436900000003"
"35.89091569999994, 139.1758538999997","35.69636709999998, 139.25107520000003"
"35.58998409999987, 139.29027890000063","35.51305159999994, 139.01016840000034"
"31.856349, 130.41577399999997","31.68359600000028, 130.51779599999978"
"36.091028999999814, 138.0142029999999","36.21355229999992, 138.22741759999974"
"33.105482000000116, 129.95157699999928","33.25699349999997, 129.90070070000024"
"36.86594540000001, 138.77649269999893","36.688578800000386, 138.92818839999933"
"35.48608490000047, 139.21829430000093","35.65935040000009, 139.16372100000044"
"35.46745799999997, 134.914423","35.31360899999967, 135.03714000000014"
"33.38886110000003, 134.2130509999998","33.586342899999956, 134.35028069999998"
"36.30304370000001, 138.86100020000066","36.47811400000006, 138.7801839999998"
"35.229992999998245, 135.3826919999989","35.021553199999964, 135.37534829999964"
"42.803184699999996, 141.34499760000028","42.93115019999986, 141.32446360000046"
"42.711426999999944, 140.8907119999998","42.89676450000054, 140.74588259999973"
"35.64411479999998, 139.4038709999995","35.47064060000013, 139.45797889999997"
"36.00294970000002, 139.06115259999805","35.88892310000011, 139.27682479999953"
"42.79080700000023, 141.37258330000174","42.95620659999924, 141.33864719999946"
"35.886874099999915, 139.20737280000031","35.73565199999996, 139.3239211999998"
"36.183241999999595, 138.18092900000022","36.26310750000001, 138.38762419999978"
"35.338379999999006, 135.14509699999988","35.19183559999999, 135.29079020000003"
"33.188483600000005, 129.96697739999917","33.23070520000052, 130.18984189999972"
"26.635234999999916, 128.22880899999984","26.77326499999998, 128.31268739999967"
"35.56148339999994, 139.1941005000003","35.474001600000186, 138.95026169999878"
"34.215775999999984, 132.17584999999937","34.36555900000005, 132.12419399999965"
"31.598903900000103, 130.5618930000002","31.733258000000017, 130.42358500000006"
"33.51940199999844, 134.28659500000126","33.29079819999991, 134.18593980000028"
"26.6805510000003, 128.15748500000015","26.726677, 128.29737799999933"
"33.18137099999987, 129.86502799999954","33.2212728000001, 130.17804630000023"
"35.738329499999566, 139.3947414000002","35.85610349999972, 139.20505450000036"
"35.87078429999985, 139.2629075999996","35.70023219999987, 139.39993670000007"
"32.66508100000003, 129.84889699999957","32.80733940000003, 129.7776597000005"
"42.902499999997524, 141.2690929999992","42.80966710000005, 141.30466670000072"
