origin,destination
"56.91648880000002, 23.991629500000048","57.077091700000075, 24.098748400000055"
"56.97966670000002, 24.252120900000005","57.05113349999994, 24.01744770000004"
"56.966033400000065, 24.005074300000036","56.94009629999997, 24.3677561"
"56.87002690000013, 24.34410779999997","56.97402239999993, 24.02204939999989"
"56.9536699000001, 23.98561870000004","57.0399756, 24.292681200000008"
"56.97013329999985, 23.833415999999964","56.99373210000001, 23.470946499999993"
"57.19023500000008, 24.46567770000005","57.0739437000001, 24.37046869999999"
"56.86581590000011, 23.91144610000008","56.99247529999979, 24.094635500000006"
"56.90756149999983, 24.007150899999985","57.056409600000165, 24.078793399999967"
"56.87864850000023, 24.005418399999986","57.03545970000018, 24.181550400000095"
"56.91051029999996, 24.03317719999996","57.058233100000315, 24.05439459999999"
"57.02291270000012, 24.244979500000028","56.92019079999986, 24.008429600000017"
"56.784759499999915, 22.442774800000056","56.71691800000012, 22.927039000000036"
"57.00693429999996, 24.262180999999984","56.972258999999994, 23.990117800000004"
"56.900830499999984, 23.99603499999997","57.03707850000016, 24.1882223000001"
"56.994992599999925, 23.89493640000012","57.01162470000037, 23.51009580000006"
"56.7330322000001, 22.83662869999995","56.82556660000021, 22.315864900000083"
"56.96236610000023, 23.816033100000002","57.02158510000009, 23.50101629999997"
"57.00479850000053, 24.145055599999925","56.89985489999994, 23.94754140000002"
"56.983835399999954, 23.884421099999837","57.009859000000375, 23.51174590000005"
"56.88301019999998, 24.235132199999995","57.04968450000018, 24.026206899999938"
"56.97059380000011, 24.233639599999837","57.02468870000005, 24.0058056"
"56.73066580000003, 22.98833099999998","56.800903999999996, 22.432105799999988"
"56.85938750000005, 24.27484889999999","57.01784569999997, 24.095270800000012"
"56.891204000000165, 24.083487699999978","57.05563089999997, 24.09453120000003"
"56.927711100000025, 24.255416600000075","57.034735900000015, 24.001391799999965"
"56.67454810000091, 22.967238000000158","56.78023369999992, 22.453972299999982"
"56.94885620000019, 24.319919899999988","56.994156050000136, 24.030570800000113"
"56.93250000000003, 24.34974059999997","57.01644950000002, 24.051033800000003"
"57.03427159999993, 24.281162099999968","56.95347910000007, 24.01188839999993"
"56.959350400000076, 23.960726199999957","57.04688310000018, 24.20483500000007"
"57.018084799999755, 24.005973700000013","56.97004519999999, 24.242262900000007"
"57.02798510000001, 24.27341479999983","56.957576000000316, 24.019921199999935"
"56.887418099999756, 24.039419299999825","57.05759880000008, 24.105134000000064"
"56.95373129999994, 23.977915900000053","57.0161157000003, 24.286423799999994"
"56.98622639999997, 24.013848000000092","56.8591401000002, 24.283694800000156"
"57.032384500000724, 24.08664280000007","56.9030763, 23.956379500000015"
"56.998072800000344, 24.27816899999981","56.88180550000009, 24.00980790000003"
"56.88013290000064, 24.04762620000009","57.0625654999998, 24.08079009999999"
"56.957980199999916, 23.986375599999853","56.996742299999994, 24.32988170000001"
"57.07081239999995, 24.14061830000004","56.90999610000028, 24.025139699999997"
"56.72678769999982, 23.028903100000097","56.771849999999965, 22.508164100000062"
"56.994334099999975, 24.28070099999996","56.972609499999955, 23.979253899999993"
"56.962226999999984, 24.01194380000002","57.0394059, 24.292944100000007"
"56.73723250000011, 22.810178400000037","56.85276439999994, 22.388658800000073"
"56.72990160000005, 22.796294900000003","56.84309330000006, 22.382349900000026"
"56.897972499999845, 23.998317600000068","57.066738199999904, 24.10558059999999"
"57.07591200000007, 24.362358599999872","56.9676135000001, 24.02844009999995"
"57.01625869999987, 24.282377899999908","56.98125409999993, 23.990180999999893"
"57.0013147, 23.48833050000003","56.98183810000001, 23.829685799999897"
"56.932769300000025, 24.060123400000016","57.04138300000033, 24.298205000000074"
