origin,destination
"54.871120200000064, 23.97349980000002","54.97295850000015, 23.748022500000108"
"55.00767740000013, 24.02867180000005","54.86154600000047, 23.943565400000125"
"54.86449050000014, 24.00137400000006","54.940528399999984, 23.79266650000001"
"54.87032800000043, 23.98154360000013","54.96022270000017, 23.737426800000073"
"54.997061099999776, 24.053566400000026","54.871379900001095, 23.940059000000023"
"54.85412249999988, 24.00250800000001","54.95835590000011, 23.77924179999994"
"55.9079441000002, 23.22042560000006","55.80357090000022, 23.376448799999984"
"54.825796100000005, 25.40502379999998","54.675818700000384, 25.370371299999945"
"54.753805099999894, 25.416084199999872","54.593033400000245, 25.264761099999994"
"54.61462180000024, 25.288129699999974","54.75709790000019, 25.41716920000015"
"54.74920170000021, 25.282676299999952","54.70145379999995, 25.580211300000023"
"54.7334073, 25.4453158","54.6160300000001, 25.200120800000064"
"54.8426503, 25.35899499999995","54.71897249999997, 25.129541799999966"
"54.81318920000015, 25.36164880000013","54.6713038000003, 25.37668699999999"
"54.9512982, 23.756469600000006","54.85751319999958, 23.999259199999948"
"54.89855189999962, 23.95925359999999","54.98056000000022, 23.736242700000023"
"54.83284990000003, 25.368173800000037","54.67354640000012, 25.358172599999943"
"54.7764309999999, 25.11204599999997","54.710586800000186, 25.42893580000003"
"54.618217200000075, 25.254671400000028","54.73583590000012, 25.451107100000037"
"54.755574800000176, 25.41972860000015","54.58992360000006, 25.315319300000027"
"54.56439170000004, 25.448375300000002","54.75745480000044, 25.397763599999923"
"54.59992409999983, 25.26885459999997","54.72872830000052, 25.390233200000065"
"54.858666200000215, 23.953959900000008","54.99828420000009, 23.72783710000011"
"54.71334340000006, 25.41165130000003","54.80503760000013, 25.19711120000006"
"54.775754899999974, 25.150643000000002","54.712611599999875, 25.414784800000046"
"54.857433400000126, 24.006436600000047","54.942651399999875, 23.763304200000064"
"55.8878948999999, 23.238800999999945","55.790342700000096, 23.378566599999953"
"54.80808530000015, 25.372576100000128","54.6387321, 25.409507500000043"
"54.918841800000166, 23.873350400000025","54.83796970000093, 24.094798599999994"
"54.694214499999696, 25.371082900000083","54.83250480000021, 25.372071300000126"
"54.902997, 23.998553799999986","54.72942470000019, 23.967373000000013"
"54.95574270000033, 23.773387599999946","54.88152480000065, 23.98251340000002"
"54.70942310000024, 25.39183360000002","54.77885919999992, 25.12085220000005"
"54.93904510000008, 23.691704800000036","54.862353200000044, 23.91023740000002"
"54.94096449999986, 23.76956730000013","54.86862530000026, 23.99319920000006"
"54.82396930000004, 25.3641352","54.64351009999995, 25.40604760000001"
"54.731451600000085, 25.424423100000034","54.6266328000001, 25.181857599999987"
"54.858814499999895, 23.702359050000013","54.901184699999995, 23.9760865"
"54.73398889999997, 25.405747399999992","54.62217110000013, 25.192694399999993"
"54.8829904, 24.125490700000054","54.914466999999966, 23.86921439999993"
"54.91121640000026, 24.021420300000003","54.725388400000014, 23.971411000000003"
"54.89687800000012, 23.983414999999937","54.85360519999978, 23.711760299999924"
"55.91246429999995, 23.22685220000001","55.78600240000016, 23.36194890000012"
"54.93002910000004, 23.94836549999997","54.786111800000164, 23.94315940000009"
"54.9967356000001, 24.01862700000002","54.86350840000062, 23.93282369999989"
"54.60719890000006, 25.247453800000073","54.728019799999984, 25.391109699999994"
"54.95919920000025, 23.73900200000002","54.866319999999774, 23.999181800000077"
"54.82534040000006, 25.32632130000011","54.73520619999998, 25.093912"
"54.85958310000002, 23.845293799999983","54.881861599999965, 24.11670400000006"
"54.989551900000095, 23.73612210000011","54.86232820000004, 23.995331499999946"
"54.81462350000015, 25.361517400000128","54.65498210000001, 25.386426400000037"
"54.60670619999995, 25.27322580000002","54.75779949999995, 25.410737899999944"
"54.67634860000004, 25.3740050999999","54.822576999999946, 25.361400699999958"
"54.6295919999998, 25.19378800000005","54.73219720000003, 25.44923630000001"
"54.60278420000067, 25.34722659999992","54.756771500000255, 25.404385800000018"
"55.0222400000001, 24.0010267","54.867682899999984, 23.93598"
"54.899606599999984, 23.95629209999996","54.989551900000095, 23.73612210000011"
"54.759149600000185, 25.41206630000015","54.60413660000013, 25.2616681"
"54.6968201999999, 25.37205310000002","54.841335400000204, 25.372194600000125"
"54.762370199999964, 25.397901500000028","54.58407860000006, 25.345501900000073"
"54.90070960000017, 23.931034899999958","54.985276800000115, 23.735570600000113"
"54.983594300000114, 23.735625900000112","54.901365899999995, 23.954791399999987"
"54.97749600000015, 23.736865600000073","54.86137360000022, 23.966334600000003"
"54.6239901000003, 25.19365139999996","54.729466400000064, 25.45101810000004"
"54.62872820000003, 25.216304899999972","54.73183869999996, 25.401735400000025"
"54.72730069999976, 25.43145689999997","54.63459700000031, 25.19819679999995"
"54.72953330000021, 25.415976899999908","54.632466300000566, 25.198122499999954"
"54.8335902000002, 25.354398800000094","54.68988179999993, 25.32317509999999"
"54.974417800000005, 23.74273540000001","54.85725430000004, 23.958265300000008"
"54.989551900000095, 23.73612210000011","54.899224700000055, 23.96480569999997"
"54.70195289999996, 25.560793400000026","54.76062329999982, 25.341788200000053"
"54.84862739999998, 23.99918390000003","54.99422739999995, 24.100510199999956"
"54.88439449999995, 23.94881299999998","54.989812200000095, 23.73606980000011"
"54.86018330000013, 24.00850890000005","54.96470820000013, 23.75293550000003"
"54.750587499999774, 25.132867799999904","54.83671529999993, 25.365974000000048"
"54.760927799999976, 25.403872099999965","54.58088390000009, 25.353561299999917"
"55.007770700000215, 24.029352900000024","54.87152599999997, 23.932691399999996"
"54.97410650000015, 23.745776400000107","54.865538999999984, 23.93966609999999"
"54.966212699999915, 23.75207899999994","54.86856330000004, 23.996531299999944"
"54.718095099999864, 25.414546700000155","54.633731800000014, 25.211412600000045"
"54.91433930000017, 23.872300700000107","54.873384600000016, 24.12295110000005"
"54.73332779999998, 25.399175800000027","54.61229059999996, 25.215239100000026"
"54.78111909999986, 25.12054360000005","54.71233259999985, 25.390093899999904"
"54.7815443999997, 25.14771850000005","54.710621100000076, 25.397681600000023"
"54.71334109999998, 25.422142900000097","54.773493899999984, 25.097867199999975"
"54.89912360000002, 23.848937500000055","54.872817900000015, 24.12520160000005"
"54.83845809999992, 25.366935800000043","54.77652389999985, 25.09758759999993"
"54.758061199999965, 25.405015800000022","54.60203800000067, 25.338484299999916"
"54.876176900000054, 23.97943810000002","54.94069269999999, 23.714588500000065"
"54.961404300000225, 23.727283200000027","54.88888950000065, 23.97884999999998"
"54.81303930000002, 25.361753400000005","54.65706230000026, 25.398776599999966"
"54.781045599999956, 25.109680699999977","54.70680259999997, 25.395968700000157"
"54.614972299999984, 25.229811499999986","54.73108369999985, 25.393502299999806"
"54.78915019999992, 25.374344999999952","54.63770240000026, 25.42503779999997"
"55.00737570000013, 24.028939600000054","54.86142020000051, 23.947373500000033"
"54.65957070000019, 25.423833099999936","54.79916690000003, 25.425465599999974"
"54.8637881, 23.997622099999955","54.94041100000015, 23.717594700000028"
"55.89098339999995, 23.24983730000002","55.78987190000011, 23.367869299999978"
