origin,destination
"28.42857519999991, -106.82646540000019","28.40801650000012, -106.92157119999987"
"19.485276799999877, -90.47554879999976","19.43513489999993, -90.48249050000008"
"23.24446770000003, -106.36222569999981","23.203503699999995, -106.4269575"
"25.6162137999997, -106.8991532999999","25.647572600000004, -106.97622720000012"
"23.77258510000008, -103.65219579999976","23.857724199999986, -103.66835479999988"
"19.993845800000045, -87.46521330000009","20.08888859999994, -87.47557189999976"
"23.897849399999956, -106.67753309999999","23.94991510000001, -106.60784399999967"
"18.922528200000034, -99.24387229999982","19.01601269999997, -99.26603439999992"
"19.385113400000062, -88.46948460000027","19.451994899999917, -88.41353779999973"
"23.812260500000058, -99.06188210000006","23.749356100000085, -99.16010280000019"
"29.609922299999926, -107.07847770000004","29.70183679999991, -107.06962509999995"
"31.046404500000076, -114.92110939999992","31.06464870000012, -115.00637009999996"
"19.83365059999994, -99.20124020000004","19.78361019999989, -99.29192590000035"
"29.742941399999914, -107.08070929999994","29.646431500000002, -107.04760279999984"
"31.05196950000012, -115.04479009999994","31.072794299999888, -114.97827800000003"
"18.998502399999946, -99.25427350000027","18.914881299999966, -99.17713640000028"
"19.711112899999993, -99.25888849999984","19.614818899999953, -99.29585080000012"
"19.362695199999983, -99.22457269999987","19.351717000000242, -99.12475190000019"
"21.279905199999984, -89.68522190000024","21.26468810000021, -89.7718832999998"
"30.97665240000007, -115.11352299999994","31.036065300000065, -115.07441640000003"
"25.535508899999996, -103.30634929999985","25.577240099999884, -103.40734949999982"
"19.4425309999999, -99.11355009999977","19.402451499999977, -99.03381469999988"
"32.580867200000036, -115.35472599999993","32.62903870000004, -115.37163729999976"
"20.47993410000013, -97.46333550000016","20.514901400000007, -97.39062039999983"
"32.61510369999995, -115.44785370000021","32.61726109999997, -115.52413670000003"
"25.518034500000034, -103.45084599999996","25.54336589999992, -103.53446689999957"
"18.985176599999996, -99.71104499999998","18.91065860000004, -99.67153339999987"
"19.747428500000037, -101.16256140000021","19.679940099999975, -101.25389999999969"
"19.376463100000056, -99.62956080000015","19.283192899999953, -99.6231946000003"
"18.396294999999906, -97.72626269999877","18.44252129999998, -97.6509890999999"
"25.581204700000082, -100.23452640000014","25.6533437000001, -100.31214939999985"
"21.948250099999985, -99.23076600000064","22.035469699999975, -99.22731259999989"
"16.54542340000002, -92.99120219999992","16.603052299999916, -92.99762340000001"
"18.954042599999912, -99.25675779999993","18.845166100000057, -99.23585410000024"
"20.980149000000036, -89.55687900000048","20.99521100000011, -89.64082999999992"
"19.403064999999927, -100.30131610000002","19.483099200000055, -100.36166310000023"
"16.828334500000064, -99.91064299999994","16.90489240000007, -99.83314729999994"
"29.47871350000001, -107.06133310000018","29.587009600000027, -107.0749694000001"
"21.04946650000006, -99.7973853000004","21.080583400000044, -99.88110650000002"
"20.68443090000004, -99.82614529999978","20.773128099999994, -99.8489133"
"31.025117100000077, -114.88738599999994","31.053377499999982, -114.82278229999947"
"32.644882100000096, -115.3703723","32.59972919999999, -115.44755190000016"
"25.799982900000053, -100.3779092000002","25.72030629999998, -100.35549580000014"
"19.39078140000002, -99.20394260000002","19.36670219999994, -99.12299750000031"
"22.069913500000037, -102.52549129999984","21.99177020000005, -102.58162029999983"
"18.5557863000001, -88.25171559999986","18.52605889999996, -88.31810570000005"
"19.095296099999974, -98.19302330000004","19.160197699999944, -98.25544240000009"
"19.345934599999882, -99.07454340000015","19.345710600000114, -99.20979309999989"
"19.73906510000001, -101.23007090000014","19.74676660000008, -101.14387189999971"
"29.46882910000003, -107.04879639999976","29.541551300000034, -107.0653724999997"
"31.06530240000012, -115.00477819999996","31.028214200000072, -115.09648829999995"
"19.67574559999991, -101.20265479999988","19.678924500000065, -101.08422590000006"
"19.283547999999954, -99.06626749999997","19.35555820000006, -99.02251589999999"
"31.153476699999974, -114.93644359999975","31.110178499999954, -114.97733920000023"
"32.596031599999996, -115.33556829999979","32.6456733, -115.40903370000011"
"20.657653999999976, -87.92969180000033","20.670843599999934, -87.86720399999984"
