origin,destination
"58.08421830000026, 7.788425600000032","58.320307599999936, 8.032634100000038"
"58.08498910000038, 8.020018299999997","58.33866420000011, 8.209349700000033"
"58.10402449999973, 7.9786936000000015","58.17829190000027, 7.938460800000001"
"58.108527299999906, 7.983525400000028","58.352747600000335, 8.31496100000006"
"58.11385949999993, 7.472841699999956","58.101870099999864, 7.541389300000011"
"58.123656800000035, 7.92941629999996","58.381981200000716, 8.246288400000063"
"58.143298599999945, 7.844296999999946","58.18003840000022, 8.011166799999994"
"58.1443116, 7.867993200000005","58.23730109999993, 8.03613189999999"
"58.160383200002876, 7.952851900000017","58.11043759999972, 7.993278000000039"
"58.17510109999994, 7.980934299999979","58.25142609999994, 8.172913999999992"
"58.2287681, 7.810241399999997","58.15242750000018, 8.052925599999957"
"58.24051649999992, 7.945239500000006","58.32733799999997, 7.953411000000033"
"58.2473128, 8.13888499999993","58.094940600000484, 7.9317780999999785"
"58.253719199999765, 7.876831599999993","58.134086999999994, 7.866461999999956"
"58.25394270000015, 7.986136700000108","58.098454000000096, 7.5760051999999805"
"58.28527540000037, 7.995206099999998","58.0980657000001, 7.58554439999998"
"58.30918929999998, 7.969204600000036","58.07629179999997, 7.738063699999995"
"58.32472650000044, 8.291867200000032","58.106498999999666, 7.945146900000003"
"58.34818100000003, 6.284848899999999","58.360698299999896, 6.400536200000006"
"58.36551300000003, 6.110201999999988","58.336257000000124, 6.213347000000008"
"58.38590220000075, 8.242647900000069","58.20274990000005, 7.887898200000017"
"58.38713069999996, 7.860586600000018","58.11043759999972, 7.993278000000039"
"58.38852499999996, 7.890626400000019","58.117307000000174, 7.9464558999999975"
"58.42180999999997, 7.8101660000000255","58.16032880000024, 7.952877999999996"
"58.42447699999998, 8.774074299999981","58.51929079999987, 8.877713600000032"
"58.43917110000009, 8.753004699999995","58.50613710000018, 8.876521300000066"
"58.482455800000515, 8.827896199999978","58.43760820000002, 8.776416400000006"
"58.48757729999995, 8.734061300000004","58.42287340000061, 8.770584400000065"
"58.49005800000026, 8.918635099999975","58.50930199999957, 8.80692659999993"
"58.50873680000085, 8.896980799999978","58.46254509999974, 8.778561600000046"
"58.75623050000026, 5.873608399999957","58.869770000000166, 5.739267500000037"
"58.75651200000021, 5.856450000000005","58.71215200000031, 6.034110000000015"
"58.78433900000001, 5.690168000000008","58.673229000000134, 5.59437099999999"
"58.80549859999998, 9.242635500000008","58.837439800000276, 9.312474599999986"
"58.80925700000009, 5.809772999999995","58.88587359999998, 5.808544499999998"
"58.8454749000004, 9.21012880000004","58.813115800000375, 9.201823300000033"
"58.84747999999993, 6.046683000000016","58.892782999999916, 5.9510769999999695"
"58.857384, 5.786654400000001","58.90012460000063, 5.892608999999998"
"58.857936999999794, 5.692559000000055","58.79856500000017, 5.86022599999998"
"58.86981719999987, 5.7633658000000585","58.77241500000002, 5.737290000000011"
"58.921383399999804, 8.946848700000047","58.97483630000021, 8.808918299999885"
"58.96143259999979, 8.903050100000046","58.97483630000021, 8.808918299999885"
"58.97311360000013, 8.796265599999966","58.91993450000015, 8.958523499999865"
"58.97416090000012, 8.78811679999997","58.91583400000013, 8.966105700000066"
"58.978025099999776, 8.832609000000046","58.95078619999979, 8.916869900000044"
"59.05349600000029, 11.486567999999995","59.20420999999975, 10.904672999999855"
"59.06849600000004, 9.726060999999957","59.14057790000002, 9.66151970000001"
"59.073580000000014, 10.437572999999995","59.15938720000021, 10.40359929999997"
"59.08275899999998, 10.200823000000034","59.13430700000014, 10.302891000000066"
"59.08637200000023, 10.450557999999962","59.15880479999998, 10.425327999999952"
"59.12263140000019, 10.396537199999967","59.20777240000004, 10.366213500000018"
"59.12915520000015, 10.278239700000007","59.09913499999989, 10.107116999999961"
"59.142753899999974, 8.189901000000008","59.1567680999999, 8.35495120000004"
"59.14360979999992, 8.213409200000013","59.1631519999999, 8.338587400000039"
"59.14447739999998, 8.236275700000014","59.15118039999989, 8.38355690000004"
"59.14447739999998, 8.236275700000014","59.15848549999995, 8.35229060000002"
"59.15343979999998, 8.282948600000012","59.14994809999998, 8.165342500000024"
"59.15423920000015, 10.256560900000032","59.09450099999999, 10.224810000000002"
"59.16491539999973, 9.664862600000015","59.228287800000125, 9.555068500000027"
"59.18748889999991, 10.973772700000023","59.267057199999996, 10.754596699999993"
"59.188746000000336, 10.286734199999975","59.15241140000015, 10.210647300000026"
"59.19123299999999, 10.8611662","59.378493099999964, 11.458425399999959"
"59.19452880000013, 10.45494230000002","59.2716679000001, 10.372152599999968"
"59.19516200000002, 10.822798999999996","59.42936420000005, 11.36798570000004"
"59.19890800000026, 10.933270600000032","59.27383500000022, 11.114084999999989"
"59.199129399999656, 10.908936799999994","59.28387120000005, 11.187228299999989"
"59.20003500000015, 5.174349999999995","59.20912600000005, 5.274681000000002"
"59.21000089999998, 10.385300499999987","59.27937850000009, 10.444073999999988"
"59.21495600000004, 5.247987000000002","59.278957000000155, 5.188618000000003"
"59.2163589999997, 9.600945000000024","59.143755700000135, 9.591617300000008"
"59.21755429999997, 9.553125299999964","59.19089799999997, 9.715732899999974"
"59.23450310000007, 10.938988999999998","59.26504380000006, 11.0640918"
"59.237703800000226, 9.627787500000029","59.14300499999997, 9.613145000000003"
"59.239942299999804, 9.577406799999972","59.19045920000003, 9.620858400000005"
"59.24261109999996, 10.46309249999998","59.17110939999983, 10.427976699999991"
"59.247742099999826, 11.180405999999994","59.20793219999998, 10.982667099999986"
"59.24813839999994, 10.462656300000004","59.16965160000016, 10.444025000000046"
"59.259773000000116, 5.328917000000007","59.35871500000016, 5.2489979999999985"
"59.263095000000305, 10.276119000000028","59.30225590000016, 10.496196800000003"
"59.26951290000003, 10.419054000000015","59.21896240000008, 10.458610300000018"
"59.27715820000008, 10.779658699999935","59.23102789999988, 11.0102028"
"59.27733030000004, 11.066126799999962","59.231135, 11.248963000000023"
"59.281598199999955, 10.421715100000018","59.17999580000002, 10.457337399999973"
"59.28381499999963, 11.021110400000014","59.21028710000031, 10.934227900000021"
"59.28683099999984, 11.115954999999975","59.22295569999986, 10.959766799999995"
"59.291337399999975, 10.47108180000001","59.18265749999988, 10.46017080000002"
"59.29370710000008, 10.423535599999973","59.187687300000135, 10.382673200000013"
"59.29701700000013, 5.196067999999998","59.20946400000005, 5.269877000000002"
"59.29798299999997, 5.225218999999992","59.23293100000016, 5.1771670000000105"
"59.30109299999985, 11.097184800000004","59.25941150000005, 11.182095699999985"
"59.30541530000064, 10.425692100000084","59.19642780000014, 10.408352299999974"
"59.30639660000012, 10.996490500000027","59.29438999999971, 11.23487500000004"
"59.360002000000534, 10.841150099999968","59.20708850000009, 11.00619900000001"
"59.37011000000014, 11.177968399999989","59.25941150000005, 11.182095699999985"
"59.38181270000011, 10.652965300000014","59.3756559, 10.819858900000021"
"59.411188600000166, 11.377293599999975","59.513504999999896, 11.230444999999994"
"59.41518850000055, 5.32535489999999","59.1543470000001, 5.213768999999998"
"59.428572300000226, 11.376332000000048","59.88602970000009, 11.211324600000035"
"59.43547500000008, 5.296767999999998","59.3533492, 5.190699900000016"
"59.437959000000255, 5.240173000000001","59.43116149999982, 5.489160400000013"
"59.44254639999977, 5.392569599999985","59.21036900000004, 5.172699000000008"
"59.45501040000007, 11.173798200000038","59.56605140000016, 11.16588629999997"
"59.457047100000224, 11.42159799999999","59.88491869999997, 11.208994399999979"
"59.4680830000001, 5.251814000000005","59.35873000000006, 5.27429899999999"
"59.48958590000029, 10.670490100000048","59.418854799999835, 10.659789900000112"
"59.49042000000002, 11.398769000000003","59.920728100000574, 11.152314600000011"
"59.49969419999986, 11.47128099999995","59.88363140000006, 11.228327799999969"
"59.501686099999596, 10.6978792999999","59.3884907, 10.750700599999998"
"59.51902339999991, 11.414261699999976","59.92059800000037, 11.200391000000176"
"59.52405900000015, 10.171960999999975","59.44674300000004, 10.155896000000018"
"59.52772399999987, 11.345996999999995","59.93243589999985, 11.16634730000005"
"59.54575599999991, 11.337516999999997","59.93305220000038, 11.136745299999927"
"59.55148629999992, 11.167876100000004","59.95624599999996, 11.167491999999998"
"59.555702900000185, 9.193082000000029","59.517618200000456, 9.340383800000023"
"59.5700531000002, 11.336435999999964","59.47701900000001, 11.245677999999977"
"59.57902660000017, 11.46673860000003","59.94468650000012, 11.108175700000055"
"59.58842499999989, 10.664182999999985","59.68154600000023, 10.777604000000002"
"59.608865500000185, 11.448099900000013","59.99581389999991, 11.015893699999962"
"59.61419500000007, 10.214752000000033","59.96993810000038, 10.694652300000026"
"59.63124650000074, 11.33475990000004","59.96024549999995, 10.885364799999996"
"59.63553810000014, 11.487908600000027","59.981452499999996, 11.061971799999991"
"59.641676700000126, 11.307482300000007","60.094673700000286, 11.176963399999957"
"59.64326709999997, 11.438681299999994","59.99659760000028, 11.097538700000003"
"59.65047640000001, 10.211472800000017","60.02476900000022, 10.903141"
"59.6631165, 11.404373200000004","59.945203499999856, 10.74951330000005"
"59.667616000000564, 9.469718000000015","59.636376600000176, 9.29648030000003"
"59.66821770000003, 6.408266299999992","59.611450900000015, 6.234078899999999"
"59.677870000000176, 10.365623000000056","59.76383610000027, 10.118239900000013"
"59.68200240000008, 10.364138800000037","59.729087099999944, 10.228378700000015"
"59.68480599999992, 10.320616999999993","59.75338279999991, 10.231575899999942"
"59.690642200000106, 10.320927300000017","59.74406130000006, 10.158262999999996"
"59.70622300000002, 10.464989999999991","59.55177999999992, 10.563122999999988"
"59.71533509999999, 10.129218199999956","59.67655510000009, 10.37465390000004"
"59.717019500000134, 10.226378299999958","59.77843719999945, 9.896586799999959"
"59.71822159999999, 11.496111899999997","60.13251999999994, 11.16434770000001"
"59.72884499999987, 10.518429000000024","59.791646199999946, 10.481177600000056"
"59.730446399999565, 10.121844100000018","59.67392400000011, 10.375958000000013"
"59.73625800000001, 9.847722000000028","59.93993140000006, 10.759101099999956"
"59.74541689999998, 10.42437469999999","59.8291453999999, 10.488566800000099"
"59.74673789999993, 10.226140599999995","60.02867199999994, 10.864513700000002"
"59.74967859999988, 10.013738100000054","59.698657899999944, 10.20714470000001"
"59.7501149, 10.51217770000003","59.84638440000004, 10.329595800000005"
"59.75017770000005, 10.043752899999998","59.984974099999945, 10.854602699999969"
"59.76172600000029, 10.483069000000002","59.83880630000003, 10.321403999999966"
