origin,destination
"49.77594250000023, 20.46826529999995","49.97543070000003, 20.387844699999906"
"50.04862650000007, 22.197909900000077","50.288101200000064, 22.437875800000036"
"50.0320646000003, 18.404314000000014","49.85167589999996, 18.62375989999995"
"50.942615799999864, 21.354624700000038","51.04096150000035, 21.722857600000026"
"50.72703080000032, 23.25511579999991","50.72759220000029, 22.91816680000006"
"50.78629720000037, 23.30712470000005","50.68533649999995, 22.99325990000006"
"50.545857900000016, 23.542253100000007","50.651271900000005, 23.240054500000117"
"50.014496599999966, 18.54752160000003","49.785096200000055, 18.62168489999989"
"50.69349789999978, 22.953638199999943","50.66854790000006, 23.270898399999975"
"53.44485630000086, 15.649659500000006","53.38023360000005, 15.896819599999992"
"50.2120764, 20.049032199999967","50.246885299999974, 19.61741259999999"
"49.9278538, 18.47441019999995","50.088171400000206, 18.23716089999997"
"52.25497389999999, 20.85810670000001","52.24713550000014, 20.414087500000004"
"49.718456999999944, 18.652967900000043","49.94254200000026, 18.566784499999933"
"54.63432640000011, 18.185503699999924","54.54985909999995, 18.441208600000085"
"50.57232610000034, 18.522229300000127","50.43208979999971, 18.822589500000003"
"50.2662380000015, 19.667852500000038","50.11612600000049, 19.98411749999991"
"52.50227090000007, 16.996544999999983","52.33971780000007, 16.975423899999925"
"54.30290309999954, 18.25573819999997","54.48437499999998, 18.37326689999993"
"50.81077890000028, 21.857469800000107","50.588815499999804, 21.728909499999958"
"50.717301999999776, 23.38782349999991","50.552284799999995, 23.16309090000002"
"49.86219630000014, 20.55877319999998","49.86450049999977, 20.978130500000027"
"50.74258700000001, 22.975759000000025","50.660996900000164, 23.336357200000027"
"50.10635539999998, 21.506517099999954","49.861493700000054, 21.61319450000002"
"50.63707789999865, 23.35963259999982","50.72786980000008, 23.013207400000013"
"50.30049280000003, 19.632378700000086","50.07723710000019, 19.899703099999954"
"50.002775100000164, 19.508874299999928","49.87926139999977, 19.83846340000001"
"54.58543959999997, 18.31718220000008","54.57447670000256, 18.54593880000006"
"54.57949460000024, 18.13879710000012","54.576841600000385, 18.413356099999916"
"50.784238900000986, 21.848866399999988","50.55498799999995, 21.654800499999894"
"50.25259269999994, 19.598816499999973","50.198555600000084, 20.00722009999986"
"51.47619719999962, 20.86651390000002","51.34631210000006, 21.213386299999854"
"50.68238620000014, 23.298182400000034","50.711969699999884, 22.91218429999989"
"50.562505599999945, 16.612075900000015","50.71712750000003, 16.423318899999895"
"50.06085550000026, 19.884974200000073","50.30583779999991, 19.664172900000015"
"49.84072220000008, 20.686369099999954","49.87519459999965, 21.090269000000013"
"53.402700900000255, 15.732611100000067","53.428817999999985, 15.9379223"
"53.464406300000164, 22.692289700000053","53.25937400000012, 22.601526900000188"
"51.165016699999946, 15.417227599999993","51.14343859999998, 15.714961000000024"
"49.87981470000053, 19.40312689999992","49.792512799999955, 19.065347299999985"
"51.18173170000007, 15.416511200000112","51.14348960000007, 15.700898299999952"
"50.07903389999997, 18.52528450000001","50.07975780000009, 18.184764299999898"
"49.93485890000002, 18.51616649999987","50.09278620000005, 18.25188069999997"
"52.4328709000002, 20.7776957000001","52.33934349999983, 21.06716810000003"
"51.17797030000051, 15.409775399999901","51.039996900000055, 15.545933299999984"
"53.67312410000084, 22.037175799999964","53.83364990000013, 21.96699530000001"
"50.68103289999989, 23.287567900000084","50.603486799999786, 22.968508199999885"
"50.27704440000011, 19.59079829999998","50.20863839999983, 20.019852799999875"
"53.43137800000009, 14.408533300000073","53.480046499999965, 14.61177329999998"
"50.6942991, 23.288841600000044","50.614650399999896, 22.95136819999994"
"50.7403008, 22.94777260000002","50.65785950000011, 23.28088150000002"
"50.728815500000046, 23.563272599999998","50.71531510000067, 23.105589799999983"
"54.55689329999998, 18.19415990000001","54.5864251, 18.414103200000024"
"50.007814100000544, 18.41243510000007","49.82949070000021, 18.64867109999988"
"49.90356990000003, 21.024599199999997","49.83338000000017, 20.672879999999957"
"50.06905470000007, 19.898887599999927","50.30583499999994, 19.651646200000076"
"50.78026360000003, 23.219200800000003","50.61385369999991, 22.96524859999988"
"49.96929959999991, 18.503767199999995","49.76098599999998, 18.615926500000022"
"50.59843200000018, 16.730517999999908","50.56152870000035, 16.42582129999999"
"51.0678099000002, 21.772949800000077","50.933190600000685, 21.42073769999995"
"50.65806220000018, 23.36214409999996","50.74977369999868, 23.08423919999982"
"53.492682500000484, 14.617620599999947","53.37389290000007, 14.435726799999996"
"49.83431740000025, 20.658681200000032","49.84988280000005, 21.04550560000001"
"53.42174510000041, 15.948617400000053","53.41370170000007, 15.62044049999995"
"51.058616500000035, 19.523732200000033","51.06887119999988, 19.135363999999946"
"50.084170300000004, 21.622249100000026","49.861724399999865, 21.716123799999945"
"51.12629669999987, 17.020738200000004","50.972057, 17.264525000000006"
"50.26646849999997, 20.123809899999983","50.07943330000003, 19.86038880000015"
"53.46534949999962, 14.593316699999999","53.44885369999986, 14.394971000000055"
"50.739607300000046, 23.513861399999957","50.74218720000001, 23.067424400000032"
"52.52412190000011, 16.99122460000005","52.4387106000002, 16.745927799999983"
"53.48370909999996, 14.614426799999976","53.42345070000003, 14.45151289999997"
"50.757922099999924, 16.396151700000026","50.58752780000028, 16.5078698999999"
"50.096360800000404, 22.38921880000001","50.02553570000003, 22.07393740000003"
"53.49887560000003, 14.592976999999921","53.3898162999999, 14.43685039999996"
"49.93619190000014, 19.85144539999988","50.02228240000043, 19.468186500000037"
"54.646491000000076, 18.3261846","54.522471700000104, 18.559137600000014"
"49.960340800000516, 18.54307470000004","50.11185899999994, 18.266376999999945"
"54.495814200000346, 18.558582199999986","54.382510500000194, 18.655294100000003"
"51.42473280000015, 21.348630899999954","51.459622400000164, 20.957969699999904"
"50.050473300000725, 22.25374300000015","50.23539540000016, 22.406399899999943"
