origin,destination
"39.49074470000009, -8.862359200000059","39.49942340000016, -9.044816499999948"
"38.470376300000055, -8.987864100000012","38.520829400000046, -8.817152200000006"
"38.60591749999976, -8.811035299999995","38.48420929999978, -8.988294099999951"
"38.86979810000002, -9.439380199999988","38.99249219999978, -9.389898000000024"
"39.508366099999975, -8.983587200000052","39.48895129999998, -8.774451400000094"
"39.47154109999992, -8.76867560000003","39.50918799999998, -8.973044899999989"
"39.510183300000094, -9.034609100000035","39.49486969999997, -8.79133280000009"
"39.356506899999914, -9.400207800000027","39.41902390000002, -9.229087799999975"
"38.47082840000001, -9.001522499999949","38.5581837, -8.833745500000003"
"39.45397550000022, -8.868516199999974","39.449791700000304, -9.094727699999996"
"38.865452799999986, -9.422529700000036","39.005320100000056, -9.360903899999986"
"39.39803099999977, -8.996765699999967","39.54470220000013, -9.048913900000004"
"39.501393999999905, -8.821764600000051","39.51149600000005, -9.06060050000001"
"39.46188670000012, -8.973244399999997","39.494116100000156, -9.15286560000003"
"39.5261422, -9.059039300000018","39.49108069999989, -8.803706500000036"
"39.05087909999994, -9.404683199999974","38.894911900000025, -9.434412899999998"
"38.90540749999982, -9.406125199999982","39.08022530000006, -9.414369899999997"
"38.88410000000005, -9.432219999999967","38.94712309999987, -9.33328549999999"
"40.34069660000014, -8.484839799999957","40.56172800000006, -8.442560900000071"
"38.49640849999994, -8.797184000000028","38.47174240000035, -8.9983335"
"39.50198419999993, -9.017773200000043","39.49317859999997, -8.794510200000095"
"39.38864720000021, -9.027095200000058","39.4937818, -9.169210600000003"
"39.479796400000126, -9.068596400000008","39.502445400000084, -8.849948599999998"
"40.519053299999975, -8.362443600000013","40.35758449999998, -8.438613900000014"
"39.48553909999997, -9.179306500000013","39.48689999999998, -8.984725500000026"
"39.35958029999989, -9.408470599999987","39.42445899999989, -9.236937900000038"
"39.49687209999997, -8.793962900000091","39.522622699999815, -8.989868299999989"
"40.42192330000034, -8.807109399999973","40.610280199999885, -8.72772520000001"
"39.524138799999996, -8.836479800000003","39.46721740000015, -9.063997399999995"
"39.46129189999993, -8.858471000000012","39.505994200000025, -9.048008400000013"
"38.86855869999981, -9.422406700000021","38.992734100000064, -9.3800657"
"39.44781580000033, -9.095693299999995","39.44711350000059, -8.892785700000006"
"39.51542349999997, -8.771229599999986","39.512663699999976, -8.980244800000017"
"39.523499200000025, -8.970261799999989","39.472257400000025, -8.752048499999992"
"38.893316799999944, -9.418362399999996","39.05348929999979, -9.414100899999985"
"39.50202910000019, -9.027269499999953","39.49638900000005, -8.797108999999981"
"39.49647260000006, -9.162845000000013","39.43395860000009, -8.974423800000011"
"40.3740109000001, -8.446003600000006","40.54603949999982, -8.39543090000001"
"38.47908180000022, -8.993455500000007","38.52089440000004, -8.791972700000004"
"38.46058769999997, -9.024646599999947","38.49788940000004, -8.799259499999998"
"39.48147549999981, -9.184963800000055","39.43859240000018, -8.980867099999996"
"39.49917090000004, -9.052670300000011","39.49556280000007, -8.809990400000002"
"39.51906190000002, -8.8365698","39.47706869999984, -9.078017200000033"
"39.45806179999994, -8.967973899999992","39.504506500000026, -9.158074699999988"
"39.5223607, -9.078069500000003","39.51077120000005, -8.871328499999997"
"39.48030639999994, -9.186517399999907","39.47912569999997, -8.997984300000034"
"39.522034999999995, -9.080843700000003","39.50250330000005, -8.846329699999997"
"39.47137370000012, -8.85826089999998","39.512061900000205, -9.042616399999957"
"39.478871900000016, -8.753439299999988","39.51190869999994, -8.964226699999958"
"39.46784570000001, -9.042780699999971","39.49556280000007, -8.809990400000002"
"42.07448220000017, -8.45691059999994","41.98354119999997, -8.343261200000006"
"39.471192600000016, -9.0664943","39.50005530000008, -8.87809070000001"
"39.44403800000022, -8.874138099999989","39.449791700000304, -9.094727699999996"
