origin,destination
"44.38058589999995, 27.561076699999987","44.48130029999997, 27.503435900000174"
"47.10061410000002, 23.92996159999996","47.22454230000003, 23.78691660000001"
"47.5086772, 24.974710899999977","47.428903799999645, 24.826861899999926"
"44.011971399999865, 24.440317599999993","43.852509199999886, 24.457179700000033"
"45.7638654, 21.10116870000002","45.8678676, 21.1840764"
"45.872950699999755, 27.330561300000063","45.79809439999962, 27.148725600000233"
"46.66526179999981, 26.90339009999984","46.51754680000016, 26.97206849999983"
"45.70128470000005, 21.85279909999999","45.62446610000003, 22.020449199999973"
"43.86512350000011, 28.483065300000032","43.96670157500026, 28.611914649999893"
"47.64882579999987, 26.189070000000044","47.79823090000023, 26.115657900000013"
"47.69654809999991, 26.553968599999983","47.647419399999954, 26.368814400000016"
"43.90483549999999, 24.62298320000004","44.0127764, 24.5589116"
"43.819779000000004, 28.17785249999998","43.88554620000025, 28.357682100000066"
"44.45116999999991, 27.50611599999998","44.344877699999834, 27.583006300000065"
"46.19237610000033, 27.1455858","46.31342460000011, 27.00945769999997"
"46.64654899999992, 26.78251680000006","46.72041120000011, 26.613807200000014"
"47.4566578, 27.51324039999998","47.56502679999995, 27.40654040000004"
"45.16942530000009, 27.930883199999982","45.0536646, 27.77631289999997"
"47.66264129999963, 23.463481299999884","47.76266289999951, 23.323515999999884"
"47.32313719999992, 25.172782800000007","47.35875040000007, 25.375576400000025"
"46.264254900000005, 21.632045200000004","46.32135609999996, 21.784610599999866"
"46.332137600000024, 21.954292199999976","46.338173899999916, 22.127308399999972"
"43.73083190000011, 25.706030800000015","43.842998599999994, 25.84611739999998"
"46.16837649999982, 21.25368770000006","46.183619000000185, 21.394904299999922"
"46.038252299999925, 21.24743520000004","45.90889999999985, 21.21927739999994"
"44.093770500000176, 28.443376200000085","44.0987061000001, 28.58197160000011"
"44.399090899999614, 27.857763100000135","44.313057500000035, 27.678166499999993"
"44.91960240000006, 23.74137480000001","44.80533160000007, 23.641009500000038"
"46.96780840000007, 23.800188","46.83173100000001, 23.708809099999996"
"44.903688299999985, 29.58386729999996","45.01280537500014, 29.623441000000007"
"43.74249679999995, 24.726834400000016","43.788610099999886, 24.507367200000008"
"43.92098699999994, 23.62133449999998","44.05709870000001, 23.65782329999994"
"44.53858020000019, 27.281254900000018","44.594458199999906, 27.457327100000036"
"47.16691129999992, 23.845546400000018","47.05475659999993, 23.95948579999997"
"47.77144270000011, 23.201370800000003","47.945906900000246, 23.091942300000014"
"44.37054199999967, 22.51697370000004","44.29382789999994, 22.68742709999996"
"46.94390900000018, 24.473519600000056","47.057293900000175, 24.323467599999937"
"44.214609399999844, 27.132320400000022","44.2787933, 27.278140800000013"
"43.86446710000011, 28.57738650000004","44.036626300000066, 28.6516474000002"
"44.13786070000002, 25.71422490000011","44.291771500000024, 25.87149559999999"
"43.89984320000022, 24.698724399999996","44.03831699999998, 24.657632199999977"
"44.60479619999998, 28.350751700000068","44.699310899999986, 28.228488499999965"
"44.60266549999998, 27.65934449999998","44.60694810000019, 27.488293999999982"
"45.417844400000064, 21.67855470000011","45.52389370000008, 21.74996830000011"
"47.348480599999945, 25.381567500000006","47.380675200000006, 25.173766799999918"
"47.906733599999995, 22.96685729999999","47.835231999999905, 23.14412610000009"
"46.55862870000021, 26.949354900000063","46.77020050000024, 26.88854889999996"
"44.01757654999989, 25.19547629999996","44.0107454999999, 25.002797099999977"
"47.350612300000265, 25.32115280000001","47.39465800000003, 25.50567939999985"
"44.119295599999994, 25.633091100000023","44.21493480000004, 25.77325290000001"
"46.53509190000009, 28.00782080000006","46.43552820000016, 28.101208100000136"
"44.425270099999985, 24.723258699999995","44.55057309999997, 24.67442119999998"
"44.054535099999995, 27.732893199999996","44.17087020000012, 27.68558379999995"
"46.925846300000146, 25.36962029999999","46.955784799999925, 25.12827219999995"
"44.04927530000018, 28.519974100000077","44.146477999999874, 28.616667099999887"
"45.635312900000045, 27.13250520000005","45.77843729999982, 27.20466070000001"
"44.61353150000012, 26.80338749999995","44.658498800000096, 26.612765699999983"
"47.32673230000006, 26.630057500000046","47.37694290000006, 26.459810900000026"
"45.6911517, 27.537986600000085","45.56447915000015, 27.52151604999999"
"47.24208870000014, 22.187954299999994","47.249564400000025, 22.014694500000022"
"47.790854899999786, 25.90549080000002","47.77937559999991, 25.723088399999924"
"46.99734670000002, 27.85587449999999","47.04861589999997, 27.70568959999995"
"44.36406059999991, 27.826459900000025","44.2904623000001, 27.620795000000033"
"47.136274900000195, 21.919191299999987","47.02707700000005, 21.9480543999999"
"44.13429380000001, 27.258684399999968","44.208732499999975, 27.410293200000105"
"47.24389360000001, 22.998912499999978","47.37537350000017, 22.848239199999988"
"46.16735080000016, 22.677969099999995","46.08018849999999, 22.820212799999943"
"47.59559359999999, 22.58728710000001","47.69589790000023, 22.45058800000005"
"44.57747159999993, 26.352386599999985","44.67295799999998, 26.557299799999925"
"46.006750600000075, 20.844889300000112","46.11852630000018, 20.77478019999995"
"46.38341780000035, 27.056902800000124","46.513834900000084, 27.09011789999993"
"47.95858679999984, 27.05444640000003","47.87431499999998, 26.961256300000134"
"46.43034559999996, 26.407031300000035","46.32301870000002, 26.541054999999975"
"46.95645790000004, 25.089187300000006","46.95607700000039, 25.341312399999975"
"45.72127909999998, 21.328053900000025","45.70304010000008, 21.18581260000005"
"44.17277109999997, 26.335115500000004","44.201958699999956, 26.507080799999965"
"47.80210540000019, 26.4185987","47.82742019999996, 26.241460300000096"
"44.14455700000018, 28.03122999999989","44.184242800000035, 28.188933099999993"
"47.07079980000022, 27.870271500000126","46.97224939999994, 27.80439819999993"
"44.14298369999997, 23.493112799999988","44.09051729999998, 23.272703137500017"
"46.705499200000126, 28.16414949999999","46.677360400000055, 27.997310800000008"
"47.814905300000035, 25.818987099999983","47.93462459999974, 25.770691000000017"
"47.267795400000146, 26.979758899999908","47.39002050000017, 27.009592599999944"
"45.787516999999944, 20.928622499999943","45.676813100000366, 20.930075299999988"
"47.365925699999906, 26.27671919999995","47.382384200000025, 26.091737999999918"
"47.54632250000004, 25.656668900000017","47.534613899999954, 25.457963399999993"
"47.686630300000004, 25.536421600000043","47.592710299999915, 25.669113100000086"
"43.98225250000013, 28.237444199999896","43.95262140000005, 28.395066400000008"
"44.42392749999993, 27.833404300000044","44.32802329999999, 28.047999299999912"
"44.9908200000001, 27.59945330000003","44.99893819999977, 27.428809200000018"
"44.13194840000005, 25.161939600000007","44.23370749999993, 25.054012200000027"
"43.92103999999993, 23.566020199999993","43.92163330000024, 23.39518460000016"
"43.75020599999996, 25.534453000000028","43.86630690000008, 25.443527100000033"
"45.760286200000145, 27.20327109999998","45.64359009999998, 27.071023599999954"
"46.92209390000002, 27.35149639999999","46.86499099999992, 27.256320300000052"
"44.507851700000394, 26.058915499999976","44.626929400000016, 26.12879399999994"
"47.450910299999975, 26.256176299999858","47.346471899999855, 26.36893550000007"
"44.0840294, 28.186140099999918","44.020140299999994, 28.348814500000003"
"47.69741499999994, 27.247447999999984","47.82297030000002, 27.1727045"
"43.69770119999989, 25.526845100000173","43.74984670000001, 25.709128999999997"
"46.331928800000014, 26.721593400000046","46.48912950000008, 26.796336600000014"
"45.71786170000007, 21.37988850000004","45.74244039999997, 21.216355800000123"
"46.055728249999994, 21.27548994999983","45.95027800000016, 21.205236300000063"
"44.96247480000014, 24.9324774","45.1034151000009, 25.033182000000064"
"44.780776700000075, 23.838337000000035","44.92019689999984, 23.824802800000022"
"43.94820540000017, 28.246270700000025","44.01922160000003, 28.321904199999985"
"44.7088809, 23.411191000000027","44.858768100000006, 23.276194699999948"
"47.2523699, 21.925792099999992","47.383127200000445, 22.143165899999886"
"47.805363599999595, 25.993621500000017","47.694555899999884, 26.19059529999997"
"43.85266470000011, 28.609093099999875","43.96537050000023, 28.651547399999984"
"45.158868800000086, 25.076603700000014","45.022253899999875, 24.96878089999999"
"44.21865470000003, 28.40302330000003","44.10438910000006, 28.353899799999894"
"46.032161599999995, 27.216860399999916","46.133863475000055, 27.07262922500003"
"45.71407720000013, 22.999640900000017","45.552348700000195, 22.940756699999906"
"47.856727999999976, 22.808851","47.75084580000018, 22.719204400000166"
"45.45772249999992, 23.200791500000012","45.51539289999994, 22.966739100000076"
