origin,destination
"28.31903430000006, 36.64628419999998","28.3417287, 36.6735118"
"25.008527699999945, 46.29334329999987","24.99250049999993, 46.521476799999824"
"18.26562749999995, 42.85039679999987","18.19064920000002, 42.756684199999995"
"23.981783600000227, 46.36026529999951","24.1037371000001, 46.41998219999961"
"23.94771869999998, 46.34770379999996","24.079075100000093, 46.43905799999961"
"19.709346699999973, 42.027752999999855","19.55397160000007, 41.8745482"
"19.93768880000003, 41.24429579999996","19.955024600000034, 41.362318399999936"
"19.934610900000006, 41.259605899999976","20.007295499999998, 41.32303479999999"
"24.132306600000028, 37.996931199999814","23.966837599999984, 38.22808209999996"
"20.47811910000004, 41.150079400000074","20.582155700000026, 41.04599900000006"
"25.019789799999945, 46.30418679999987","24.916618600000028, 46.38857410000015"
"26.19010645000002, 43.051385900000014","26.38841109999991, 43.069716600000106"
"23.029788099999994, 39.87977089999989","23.047837600000037, 39.76753370000013"
"18.272404400000127, 42.75607170000008","18.237037900000004, 42.853777899999784"
"27.819620999999966, 45.52099500000011","27.976518699999907, 45.59857249999954"
"28.23006509999996, 45.92413980000004","28.39916490000005, 46.03420229999985"
"26.127444449999903, 43.9847623999998","25.969104499999947, 44.0661401000001"
"26.112800099999955, 43.939051299999974","25.97807029999995, 44.061134400000086"
"24.90819949999992, 46.37470989999985","25.02437749999997, 46.41598639999982"
"27.982062099999915, 45.60338439999954","27.864363399999963, 45.56394250000012"
"24.894022800000062, 46.392956999999946","25.028291499999945, 46.33432329999987"
"21.252867700000007, 42.79931959999999","21.252030999999995, 42.927842100000355"
"19.917333800000023, 41.284663099999925","20.018224199999995, 41.32035249999994"
"27.992782700000088, 45.53616689999985","27.840159899999943, 45.44927129999944"
"27.903795699999954, 45.57496911250011","27.879061599999922, 45.438557299999545"
"20.477281699999896, 41.1522526000005","20.585695100000024, 41.07793580000004"
"20.609161200000006, 41.0640781","20.53303810000004, 41.130167000000085"
"27.91713809999994, 45.47830419999942","27.767685699999948, 45.39236080000002"
"27.08761920000005, 48.42496009999999","27.162843000000173, 48.615039200000226"
"19.82891129999992, 41.707105700000014","19.819743900000002, 41.58620310000005"
"23.911910900000223, 46.335009599999516","24.1137237000001, 46.4070021999996"
"24.958952899999915, 46.26276569999984","25.035062199999945, 46.37844997499986"
"18.759181299999927, 41.45468829999999","18.78708920000003, 41.32371499999998"
"28.00076269999994, 45.63935280000011","27.89925214999993, 45.499971699999605"
"26.143565599999942, 43.97714320000011","25.978789699999947, 44.05291580000009"
"27.995136049999964, 45.49597924999999","27.86852399999996, 45.53868870000011"
"24.115790100000098, 46.40513769999961","23.96522489999998, 46.37123479999996"
"24.044382700000096, 46.364877999999614","23.85079859999999, 46.35505359999988"
"28.013057799999917, 45.566908999999534","27.91328459999997, 45.45638209999999"
