origin,destination
"46.1374005, 13.972400000000029","46.052141500000275, 14.156557000000014"
"46.490228399999964, 15.724630499999954","46.565052800000004, 15.343682399999988"
"45.65372530000009, 14.541335300000004","45.82326560000001, 14.302246200000024"
"46.55081069999999, 15.413994699999941","46.526168100000035, 15.69080579999999"
"46.63916839999998, 16.138374200000023","46.71128329999978, 15.814746000000014"
"46.637910699999956, 16.11099960000002","46.71696969999999, 15.82493709999999"
"46.62893500000001, 16.119831400000002","46.70145170000008, 15.841692399999953"
"46.7122585000003, 16.03320389999989","46.70541879999997, 15.789399700000008"
"46.563917199999935, 15.336353499999932","46.52535650000005, 15.682198800000002"
"46.5459763, 15.403435500000002","46.48507860000004, 15.634506799999997"
"46.49674160000003, 15.714090299999992","46.561191499999936, 15.345797499999934"
"46.545092699999984, 15.548155300000003","46.480386000000024, 15.78905740000005"
"46.63573439999988, 16.134794199999995","46.673053100000125, 15.845499800000033"
"46.661330699999944, 16.073400899999942","46.70667749999998, 15.78610880000001"
"46.559358300000135, 15.348780199999986","46.507429099999904, 15.63980519999998"
"46.74119480000025, 16.019560699999996","46.701942399999965, 15.788805300000009"
"46.69657650000013, 16.108396500000026","46.69797120000002, 15.8410472"
"46.715005299999795, 15.871625200000013","46.63146319999999, 16.134433500000018"
"46.692410799999934, 15.778582900000007","46.64806000000025, 16.085742199999988"
"46.6956904999999, 16.12396150000001","46.692571300000075, 15.86821630000001"
"46.70501920000008, 15.820335900000018","46.63077409999976, 16.134059100000055"
"46.693299000000195, 15.88099609999995","46.69724739999993, 16.117188800000015"
"46.53159939999979, 15.482423500000014","46.50176900000019, 15.744350899999985"
"46.55446140000006, 15.3267968","46.52410879999994, 15.703270300000032"
"46.695397500000105, 15.855416800000055","46.70301030000014, 16.111541600000024"
"46.68882089999991, 16.047766299999985","46.709811300000105, 15.797385800000058"
"46.6879123000004, 16.126711999999984","46.697348099999985, 15.903664399999995"
"46.69525489999999, 15.778919200000008","46.66439259999997, 16.0973104"
"46.525145099999925, 15.49300789999998","46.49107980000005, 15.776832699999995"
"46.631975400001906, 16.139739300000006","46.70665160000009, 15.82612750000003"
"46.55192079999997, 15.454669200000039","46.46305829999999, 15.648557400000056"
"46.70287170000007, 15.858193299999948","46.634723700000414, 16.140898999999973"
"46.706933900000095, 15.803153700000035","46.64194229999978, 16.106146800000047"
"46.7357521000002, 16.201782100000067","46.663723599999905, 15.96026609999995"
"46.62136200000028, 16.14367359999994","46.69342250000007, 15.86868190000001"
"46.70928259999997, 15.8111355","46.64268759999996, 16.104371800000003"
"46.54121659999998, 15.369808700000032","46.53192210000012, 15.690713499999982"
"46.554455300000086, 15.44085679999996","46.510718999999995, 15.722264299999965"
"46.152086600002434, 13.97405179999999","46.048630099999926, 14.104088600000033"
"46.04808059999998, 14.165189700000031","46.13284810000215, 13.972066800000034"
"46.709625200000104, 15.797665600000057","46.69126689999996, 16.044327699999975"
"46.53648240000015, 15.378879899999959","46.500561300000776, 15.714779599999993"
"46.68982730000001, 15.879924800000007","46.668669499999965, 16.15969090000005"
"46.56278299999987, 15.298282200000038","46.529685400000005, 15.65924320000004"
"46.70748810000002, 15.819767200000005","46.68446519999994, 16.0618319"
"46.55647920000004, 15.342734500000022","46.529665300000055, 15.691894600000012"
"46.50417540000018, 15.743341699999977","46.5321369999999, 15.476469399999967"
"46.61298589999995, 16.14533049999995","46.7113874999998, 15.881882700000014"
"46.565031399999924, 15.346075799999932","46.493799000001594, 15.659675500000107"
"46.553192400000036, 15.345014300000026","46.53586600000018, 15.651401199999977"
"46.687311000000015, 15.771590399999994","46.62926339999998, 16.11736200000011"
"46.496705599999814, 15.7803436","46.54624179999993, 15.514103999999934"
"45.812457000000094, 14.30889809999996","45.65135480000004, 14.545651100000036"
"46.54518829999996, 15.448292400000037","46.49339690000019, 15.769413399999964"
"46.708902699999776, 15.807078300000011","46.65092110000008, 16.09816960000001"
"46.55302270000011, 15.327523600000028","46.49180670000002, 15.607565100000011"
"45.81059999999992, 14.313156500000005","45.65145360000005, 14.55153730000001"
"46.54112249999997, 15.369620900000033","46.49971530000024, 15.721824099999978"
"46.50841030000003, 15.750364400000008","46.541709900000015, 15.449277999999985"
"46.56456599999995, 15.350276299999928","46.51474990000018, 15.663580700000002"
"46.69910109999982, 15.792464999999982","46.64890560000012, 16.0950237"
"46.494003299999925, 15.761994600000085","46.537056099999916, 15.490907899999957"
"46.69968430000309, 15.858772299999995","46.67004589999997, 16.171391500000013"
"46.67296170000013, 15.838621000000046","46.675964599999965, 16.113606600000004"
"46.50060059999983, 15.718007500000063","46.533056899999906, 15.459680099999966"
"46.68982730000001, 15.879924800000007","46.6956904999999, 16.12396150000001"
"46.49366539999992, 15.762643700000085","46.5435874999999, 15.524011800000013"
"46.54399129999974, 15.363572499999982","46.52619679999977, 15.689284200000067"
"46.697046300000146, 15.897072200000052","46.683759200003294, 16.132060200000026"
"46.55504419999994, 15.552098199999996","46.486357299999995, 15.783728100000033"
"46.48345960000015, 15.612695599999963","46.56491749999993, 15.338314299999933"
"46.17797140000111, 15.031665099999982","46.2474442999999, 15.163659000000026"
"46.6838114999999, 15.764565000000022","46.74644320000016, 16.0156077"
"46.708533099999805, 15.882655200000015","46.700742100000134, 16.11050500000002"
"46.693651800000076, 15.86553180000001","46.66056319999998, 16.163470799999992"
"46.66551900000002, 16.162939100000067","46.6952567, 15.913607800000005"
"46.513128900000105, 15.630349099999977","46.55527079999993, 15.346587899999935"
"46.67347180000012, 15.845308000000033","46.62866489999992, 16.11918869999999"
"45.65756160000009, 14.538310800000003","45.82382210000042, 14.298785799999937"
"46.6406531000001, 16.10387189999993","46.717284199999995, 15.8278495"
"46.69360220000002, 15.856669800000002","46.707889300000126, 16.114560000000004"
"46.712601299999925, 15.817066999999978","46.65529999999989, 16.09396589999997"
"46.68908669999989, 16.047849299999896","46.69960379999983, 15.788576299999983"
"46.13014080000216, 13.979745500000037","46.05139080000035, 14.157807600000002"
"46.53601230000016, 15.641736600000026","46.56473780000001, 15.33894179999999"
"46.4991129000001, 15.640626800000014","46.56079310000014, 15.340135399999987"
"46.50708620000019, 15.691548999999975","46.56503660000023, 15.35171989999998"
"46.645654099999916, 16.0689124","46.68645190000002, 15.76815409999999"
"46.56359439999987, 15.30084100000004","46.515251600000035, 15.61894570000001"
"46.65097350000002, 16.056063299999995","46.68601919999988, 15.765619100000023"
"46.537003200000264, 15.503595100000025","46.498713499999916, 15.77076410000009"
"46.699786300003026, 15.839090799999989","46.67580619999997, 16.113069100000004"
"46.70897699999994, 15.823942300000008","46.63278090000106, 16.13077169999999"
"46.691693000000015, 15.855534600000002","46.703938800000344, 16.119554700000002"
"46.047429000000044, 14.16618349999998","46.123302400000114, 13.95521599999992"
"46.49358420000006, 15.639386800000073","46.55368120000005, 15.344048700000002"
"46.69508220000009, 15.863925900000021","46.665799700000015, 16.163057300000066"
"46.70383680000014, 16.111912900000025","46.6957384000001, 15.858389700000057"
