origin,destination
"-24.144428400000034, 31.71486319999987","-24.32807549999997, 31.68195379999992"
"-22.736629600000033, 31.16895639999999","-22.965993099999938, 31.257206599999986"
"-28.292232300000038, 31.92583499999996","-28.16224840000007, 31.892595700000154"
"-25.540153299999975, 27.957129900000005","-25.36014900000008, 28.145713200000113"
"-24.002795500000122, 31.69889330000002","-24.29246399999991, 31.74582119999996"
"-25.536572700000033, 28.009880899999978","-25.374049199999988, 28.243855100000044"
"-25.22769300000002, 31.8550032","-24.988258199999958, 31.904825300000013"
"-25.176072899999937, 31.11126020000001","-25.10907010000001, 31.41474610000001"
"-24.70410690000006, 31.800516799999965","-24.936522399999955, 31.917850099999995"
"-22.665790800000025, 31.120486099999976","-22.431079199999967, 31.202569300000008"
"-22.885946100000027, 31.243891399999985","-22.58211460000003, 31.183778399999994"
"-25.463965700000088, 28.111293899999968","-25.402727299999977, 27.86628220000003"
"-30.802653699999997, 27.958103200000043","-30.745443400000102, 28.16384370000005"
"-22.51806000000003, 31.191145","-22.76886609999994, 31.19281479999997"
"-24.393343099999917, 31.783671199999954","-24.716899099999907, 31.83123419999994"
"-24.464067199999906, 31.78514239999996","-24.201315300000086, 31.718979700000027"
"-24.381365699999915, 31.715197099999966","-24.642909900000053, 31.800751499999947"
"-25.148036700000148, 31.557023200000007","-24.903213699999945, 31.722724200000005"
"-23.895386000000116, 31.584678000000018","-24.175531900000042, 31.717187299999978"
"-23.307192500000045, 31.318191999999986","-23.042916199999997, 31.392857300000003"
"-25.581586899999966, 28.049943099999922","-25.408052599999976, 28.209834200000007"
"-28.11099089999988, 32.06294560000002","-28.23954170000004, 32.04966720000005"
"-24.90289709999996, 31.752465799999964","-24.704931200000235, 31.935431300000023"
"-22.43061739999992, 31.192296400000007","-22.67420410000003, 31.167664699999996"
"-24.261955699999902, 31.730486599999956","-24.576207000000032, 31.7834097"
"-25.109223100000012, 31.41457780000001","-25.08970420000002, 31.125420899999977"
"-23.673794100000002, 31.53921199999998","-23.415633299999985, 31.339656999999963"
"-23.432706399999915, 31.34752530000009","-23.69447520000112, 31.549180800000023"
"-23.262296100000043, 31.31100479999999","-22.998222600000016, 31.335964399999966"
"-24.03399820000002, 31.676306399999998","-23.768123700001112, 31.55585980000003"
"-24.187099400000022, 31.72002639999993","-23.932796000000113, 31.604305100000012"
"-25.474526100000073, 27.98563509999997","-25.420261000000103, 28.26566779999997"
"-22.505352399999992, 31.189058600000003","-22.783571300000034, 31.19653609999999"
"-25.157949700000003, 31.145131100000196","-25.09971060000001, 31.435170499999998"
"-24.84350339999993, 31.894553699999996","-25.10261430000008, 31.92467900000007"
"-22.829850000000025, 31.233020399999987","-23.061547300000072, 31.40054719999999"
"-24.903062700000167, 31.751864699999974","-24.707367200000235, 31.93123030000002"
"-25.36248139999977, 27.99448240000012","-25.595081199999992, 28.068935800000002"
"-23.29117490000003, 31.3191380999999","-23.53990939999998, 31.44619890000007"
