origin,destination
"41.35440789999988, 1.9713854999999918","41.421663399999886, 2.175598399999968"
"41.3141174, 1.961352800000005","41.6076310000008, 2.6462872999999996"
"42.342564900000035, -8.66011269999998","42.51374159999981, -8.612538300000047"
"42.53862189999997, -8.651888599999957","41.915590599999994, -8.831885800000007"
"38.216706600000116, -5.922292000000003","38.08169170000003, -5.968788899999996"
"36.84378750000018, -2.4809938000000082","36.8372720000001, -2.325463799999987"
"40.476934000000085, -3.20036260000003","40.45610820000003, -3.065746999999998"
"40.56409790000024, -3.601016600000015","40.38526609999995, -3.655194500000002"
"41.77188499999983, 2.2453348999999974","41.232199100000074, 1.799868699999996"
"42.536945200000325, -8.557735499999978","41.94517040000018, -8.844886399999998"
"42.32833329999991, -0.2507769999999961","42.33449500000038, -0.5181499000000047"
"39.48252649999964, -4.756666799999997","39.414912899999756, -4.874020000000007"
"42.66830559999987, -6.63088559999999","42.546975700000075, -6.613823200000001"
"41.955371399999905, -8.765669600000006","42.479730499999974, -8.727097299999997"
"42.0032833999999, -8.684613600000011","42.58630229999999, -8.623290700000048"
"38.14952350000002, -0.7050295999999946","37.999709400000135, -0.6492446000000012"
"39.534716100000324, -4.851587800000001","39.48424910000004, -4.747671000000003"
"43.04505780000003, -7.000474700000003","42.95418809999988, -7.091406699999988"
"37.73284850000002, -0.7391738999999984","37.643817199999866, -0.7119252999999968"
"38.615316900000096, -0.03244619999998944","38.680858200000095, 0.10461010000006422"
"43.087147300000105, -7.025735200000023","42.97568279999981, -7.005590899999966"
"39.88390789999993, -0.07735540000000021","39.79509530000005, -0.13381630000000402"
"41.99326330000002, -8.772029200000015","42.4782757000001, -8.596409799999993"
"42.513069399999935, -8.624908600000058","41.94450229999994, -8.778772500000008"
"43.21298580000001, -8.375685200000005","43.31279029999996, -8.561696700000002"
"42.32176950000017, 3.1856725999999984","42.41156239999986, 3.1649582999999764"
"42.315988400000215, -0.31019420000000447","42.3221736, -0.1696685000000155"
"42.77762120000003, -8.6560458","42.9494179, -8.51892499999999"
"41.47907030000035, 1.9494085999999855","41.63833940000002, 2.0714403999999793"
"42.3327841, -0.512136299999993","42.310012800000145, -0.38092919999999275"
"42.3327840999999, -0.5121362999999841","42.32037000000039, -0.25244359999999033"
"41.39413050000002, 2.186810799999991","41.48925369999984, 2.365767999999984"
"42.08191720000001, 2.9959271000000016","42.05408310000003, 3.2112845999999937"
"41.39951689999993, 2.0253516999999968","41.40687209999978, 2.1730474999999876"
"41.467005400000026, 1.9895384999999846","41.39408489999999, 2.080991600000006"
"43.405612600000026, -3.844568099999991","43.11800670000017, -3.7030191999999875"
"42.53586360000016, -7.270774799999999","42.43191289999977, -7.268571500000008"
"41.715603700000194, 1.9892000000000067","41.55843980000013, 2.0945686999999955"
"36.356849000000096, -5.814567500000013","36.29521900000003, -5.873075099999986"
"42.33842219999987, -0.49481559999998453","42.32246120000004, -0.21932019999998226"
"38.220644199999995, -6.806700599999994","38.181040899999836, -6.7156936000000025"
"42.303275100000086, 2.3589561999999984","42.280886600000215, 2.5280780999999934"
