origin,destination
"61.488045000000234, 13.747709099999987","61.56542549999992, 13.966876899999974"
"66.24471550000004, 19.372755699999978","66.4088586000002, 19.2828363"
"66.29755630000004, 19.60285909999997","66.4150792999998, 19.274223699999954"
"61.49815800000032, 13.833350900000003","61.59467270000051, 13.604490799999926"
"61.59724210000048, 13.755639899999938","61.59192599999991, 13.950686399999974"
"66.37087369999992, 19.3138372","66.17765390000005, 19.513142800000068"
"66.30641590000022, 19.217585199999963","66.2921623, 19.545822799999968"
"66.30786480000003, 19.212438699999993","66.17771909999996, 19.64132070000007"
"66.16731850000009, 19.534430800000045","66.33972870000001, 19.40412819999999"
"66.32456220000007, 19.18524999999999","66.30251969999992, 19.51489739999995"
"66.33258550000008, 19.43428909999999","66.33510750000002, 19.09593270000002"
"61.58517930000052, 13.593972299999928","61.494062000000326, 13.853478200000001"
"66.40952919999974, 19.164725199999964","66.25396210000002, 19.535585899999976"
"66.33884499999982, 19.043083000000017","66.47968279999968, 19.216470899999887"
"66.27518620000001, 19.28536339999997","66.4258557999998, 19.120272099999955"
"66.2497195, 19.353423199999977","66.15131470000014, 19.583111600000038"
"66.1272477000001, 19.599008900000022","66.23116300000015, 19.398045499999967"
"61.59112850000048, 13.689057399999932","61.4884626999999, 13.679886399999987"
"61.46021639999989, 13.744463199999979","61.55087520000019, 13.882555099999983"
"61.59480810000049, 13.633317599999929","61.500400300000315, 13.816569700000006"
"66.13829920000022, 19.792942100000047","66.24471550000004, 19.372755699999978"
"66.16207500000012, 19.554489300000032","66.33522080000002, 19.419620699999978"
"61.55896800000052, 13.582923999999922","61.49629440000032, 13.836462300000004"
"66.3244356, 19.47903529999998","66.33900069999981, 19.022435200000015"
"61.537646000000535, 13.646279799999919","61.543053299999954, 13.914988799999989"
"61.38942660000034, 13.702051400000002","61.52788250000054, 13.689009899999919"
"61.54920749999995, 13.893922099999992","61.524546699999895, 13.624911799999987"
"66.29193019999998, 19.606435499999964","66.42858509999982, 19.244604999999957"
"65.69622380000003, 21.359526299999995","65.83015030000006, 21.700300899999977"
"66.28347009999995, 19.274912199999957","66.1684786, 19.660204000000068"
"66.23743690000005, 19.507611699999973","66.33320480000006, 19.157084100000006"
"66.18203490000009, 19.511906300000046","66.3210741, 19.189493199999973"
"59.203521900000446, 18.18100189999995","59.19355370000003, 18.41039760000002"
"61.59425510000049, 13.66442209999993","61.457074000000226, 13.810246299999989"
"66.34766630000006, 19.17684629999999","66.23354329999997, 19.541880099999958"
"61.60045080000048, 13.773339299999934","61.3964707, 13.802192000000009"
"66.21620619999992, 19.268211099999956","66.32772150000001, 19.463382699999976"
"66.2179094, 19.308654799999967","66.12717890000009, 19.599441300000016"
"66.23262350000014, 19.412270599999975","66.33883430000004, 19.062785100000017"
"61.457074000000226, 13.810246299999989","61.594996200000494, 13.64586059999993"
"66.14297870000014, 19.726670900000006","66.29284119999969, 19.57591169999987"
"66.27168589999991, 19.290343299999954","66.16663680000005, 19.737166600000005"
"66.33910889999981, 19.025097100000014","66.22592409999993, 19.34910719999995"
"61.483027199999995, 13.796443000000005","61.599209500000484, 13.763888499999936"
"66.34887010000031, 19.358359200000002","66.47658399999973, 19.315384699999953"
"61.595022600000476, 13.735907899999933","61.5199629999999, 13.627508199999987"
"61.49998720000003, 13.815669000000007","61.59117370000048, 13.689658399999932"
"66.34876340000031, 19.359567300000005","66.20479340000026, 19.57944200000001"
"61.48641050000002, 13.89655039999993","61.595300900000495, 13.619532899999928"
"61.5430248999999, 13.930271199999973","61.470399899999876, 13.704905999999978"
"66.33529390000002, 19.109871300000016","66.2301828, 19.44709649999997"
"61.53591820000034, 13.835496700000004","61.3909339, 13.742363700000011"
"66.12526570000009, 19.620635000000018","66.28405879999997, 19.54571009999996"
"61.52660010000032, 13.859915500000005","61.41161700000004, 13.822009800000002"
"66.20585230000016, 19.530333200000047","66.3824173999998, 19.33862080000002"
"66.35465369999976, 19.530318199999964","66.40787469999975, 19.168001599999968"
"66.13828240000002, 19.77595539999999","66.2979156, 19.58024919999998"
"66.34615660000001, 19.16091889999998","66.30632540000003, 19.511475299999972"
"66.1309055, 19.65145230000007","66.29338240000004, 19.545284799999976"
"65.87477099999985, 21.642038200000034","65.68601260000004, 21.511169299999967"
"61.505683000000325, 13.883433100000003","61.57994030000052, 13.580124399999924"
"66.3195301999998, 19.002142200000012","66.3763068999998, 19.34013440000002"
"66.2497195, 19.353423199999977","66.16440190000003, 19.740109200000017"
"66.22744189999953, 19.352687200000066","66.3915685000001, 19.210092699999986"
"61.454479999999876, 13.744398899999977","61.58723400000048, 13.795768099999934"
"66.3335543999998, 19.506969599999966","66.33805660000006, 19.141687700000006"
"66.32554959999979, 19.48389209999996","66.33883430000004, 19.062785100000017"
"61.4949773, 13.748292500000028","61.58960500000009, 13.953224899999993"
"66.35385279999977, 19.529833299999982","66.33798769999993, 19.1172495"
"66.36959579999976, 19.22128939999995","66.23178620000017, 19.387916799999964"
"61.594875800000494, 13.642618099999929","61.496973099999906, 13.657269999999988"
"66.29725309999992, 19.237420299999954","66.17350850000003, 19.518496900000073"
"61.58726780000052, 13.597127899999927","61.41659880000006, 13.803674500000003"
"66.14634240000022, 19.597143400000043","66.21613880000015, 19.26785730000004"
"66.22777819999995, 19.465044999999957","66.13852180000005, 19.782258499999987"
"66.29695590000001, 19.524829999999977","66.48677149999966, 19.23175829999989"
"59.19848600000006, 18.243367000000006","59.192359600000536, 18.4050187"
"66.31788039999978, 19.50643619999998","66.3440029, 19.146177899999998"
"66.48752809999966, 19.24219139999989","66.32441240000003, 19.47942469999999"
"65.69599170000052, 21.36142169999998","65.82002380000002, 21.696516699999997"
"61.59253149999991, 13.949943199999973","61.49277490000107, 13.888563000000014"
"66.33605329999988, 19.114497400000037","66.2610195, 19.55100289999997"
"61.58676709999991, 13.95507089999997","61.51208199999994, 13.768981999999966"
"61.54311450000053, 13.616867699999919","61.55050110000019, 13.885240899999982"
"61.434959800000016, 13.732971200000003","61.59655750000048, 13.744797199999935"
"66.41060049999956, 19.28213360000007","66.26423030000007, 19.304318600000006"
"66.22436219999955, 19.345163900000063","66.37173219999981, 19.22476559999995"
"61.5721705000005, 13.816931499999935","61.529426299999905, 13.619933599999989"
"66.15171000000021, 19.58236750000005","66.34549260000028, 19.384603300000006"
"66.3285641, 19.45673059999998","66.33803489999981, 19.014447700000012"
"61.40604360000002, 13.76511480000001","61.512725100000345, 13.878004300000002"
"65.69624620000036, 21.35933070000007","65.80971010000013, 21.665785899999936"
"66.4764867999997, 19.315106399999955","66.33232429999971, 19.43459459999987"
"66.33844579999982, 19.017552400000014","66.3488214000003, 19.358880000000006"
"66.35963929999993, 19.1890091","66.23639759999996, 19.50224859999996"
"61.58032420000049, 13.808208299999935","61.394099200000184, 13.783673500000024"
"61.536222699999904, 13.951701999999974","61.58177330000052, 13.583422299999926"
"66.44817899999974, 19.233024599999947","66.2979156, 19.58024919999998"
"61.577874999999906, 13.962044599999972","61.490374999999986, 13.72078810000004"
"61.595632000000485, 13.780480799999934","61.5122878999999, 13.634396099999988"
"66.33525869999987, 19.104658700000037","66.2298864999997, 19.47419629999987"
"66.26114279999992, 19.551042899999953","66.36381399999995, 19.284726500000012"
"66.48481349999969, 19.271706599999952","66.33417069999969, 19.42432139999987"
"66.39848330000012, 19.195061399999986","66.26622439999994, 19.301172699999952"
"61.433857800000226, 13.76395929999999","61.54688409999996, 13.904653199999991"
"61.514139300000544, 13.70369909999992","61.589096199999915, 13.953747799999972"
"65.76247579999995, 21.66860859999997","65.69481210000006, 21.369501299999992"
"66.29344949999998, 19.545054299999975","66.41794639999975, 19.148091399999952"
"66.42271119999975, 19.25285909999995","66.31966940000008, 19.006505899999993"
"66.35843189999972, 19.187155999999867","66.22159089999955, 19.321698200000068"
"66.13236320000006, 19.568264400000015","66.30251969999992, 19.51489739999995"
"66.22976630000018, 19.361250500000043","66.13830549999989, 19.776704400000018"
"66.1440952000001, 19.60605570000005","66.33848679999971, 19.409014399999872"
"66.14546489999952, 19.543293400000053","66.25403909999956, 19.326251700000064"
"66.28794630000006, 19.259391700000005","66.16709030000004, 19.534931100000065"
"66.29695590000001, 19.524829999999977","66.48211479999968, 19.218499799999883"
"66.21757010000015, 19.307927300000046","66.34766630000006, 19.17684629999999"
"66.23595830000004, 19.48528529999997","66.33601460000074, 18.999575400000044"
"66.14002920000001, 19.679261900000064","66.29978310000003, 19.591217199999974"
"61.599597000000486, 13.765058999999937","61.47857709999988, 13.695925999999979"
"66.3244356, 19.47903529999998","66.33917109999989, 19.035341400000018"
"61.53466080000054, 13.663204199999917","61.5368763999999, 13.948013099999974"
"61.5433408999999, 13.930953399999973","61.46726240000003, 13.789748200000004"
"66.48409529999971, 19.331878999999947","66.34133649999993, 19.1282815"
"66.23302599999951, 19.476662000000065","66.36477980000019, 19.204175"
"59.202424800000045, 18.40711700000002","59.20356199999986, 18.263716699999904"
"66.17800569999996, 19.640800100000067","66.3424238, 19.393422999999977"
"66.1997378000002, 19.598042600000028","66.28835710000001, 19.258300299999977"
"61.59460269999993, 13.71591419999997","61.496973099999906, 13.657269999999988"
"66.48650069999974, 19.24881319999995","66.31504709999956, 19.197972800000066"
"66.32957100000002, 19.45114839999998","66.48586019999973, 19.25554259999995"
"66.14546489999952, 19.543293400000053","66.28707459999997, 19.263095799999956"
"66.23266420000019, 19.37010850000004","66.13859430000008, 19.627032700000058"
"61.59240780000051, 13.601952099999925","61.53691820000008, 13.974663000000023"
"61.48306310000003, 13.813469600000007","61.5959894000005, 13.608595299999928"
"61.59460269999993, 13.71591419999997","61.4915762999999, 13.706279299999979"
"66.38609679999979, 19.318217599999972","66.299615, 19.584857599999967"
"66.16749169999974, 19.608656099999994","66.29687369999994, 19.525625499999972"
"61.53154700000054, 13.680824499999918","61.54066799999988, 13.951040699999977"
"66.47715319999966, 19.217858399999887","66.3285359, 19.45731629999998"
"61.55265280000019, 13.86420159999998","61.55337040000052, 13.589211349999921"
"66.14620069999977, 19.653724499999985","66.2233744000001, 19.33690285000001"
"66.17036670000006, 19.72370350000001","66.23392110000002, 19.425086699999966"
"66.3111082000002, 19.228119499999966","66.19967410000027, 19.59817540000002"
"66.39909810000019, 19.278758000000003","66.23487630000018, 19.39651169999997"
"66.15973850000009, 19.558474800000045","66.3256731999998, 19.48435669999995"
"65.69645169999998, 21.344270100000017","65.7775656000002, 21.67937910000007"
"59.33422259999994, 14.698811100000011","59.37543129999991, 14.893328600000006"
"66.25797049999993, 19.321085899999954","66.41794639999975, 19.148091399999952"
"66.21887800000023, 19.535576900000013","66.38555819999974, 19.261859999999952"
"66.2818705, 19.277058299999972","66.43187269999974, 19.101426299999947"
"61.50401430000032, 13.884806400000006","61.56177390000052, 13.579151599999923"
"61.49742740000003, 13.808673800000003","61.59117370000048, 13.689658399999932"
"59.18716280000003, 18.412779400000023","59.20215980000022, 18.221889999999966"
"61.595022600000476, 13.735907899999933","61.47175260000024, 13.767030599999988"
"66.39176569999968, 19.320671499999882","66.2991522999999, 19.60120109999997"
"65.80783239999988, 21.693951299999934","65.67671300000032, 21.48024369999999"
"66.40776509999978, 19.168279199999972","66.35650229999976, 19.540877699999964"
"66.47947069999968, 19.216516799999887","66.34331859999979, 19.527891499999978"
"66.48490269999967, 19.225689199999888","66.33746009999982, 19.068755000000017"
"66.48321509999973, 19.274431899999954","66.33514679999988, 19.108018700000038"
"65.68782339999998, 21.509573999999997","65.85679940000017, 21.664362199999967"
"66.33890159999993, 19.049033500000007","66.45758749999965, 19.227250099999896"
"61.59421740000049, 13.66895369999993","61.4297531, 13.80200590000001"
"61.53769500000053, 13.644255199999918","61.54062989999996, 13.92902599999999"
"66.2996403, 19.600531699999976","66.21218079999998, 19.261309599999965"
"61.59500750000048, 13.734650499999933","61.501017499999904, 13.646197799999989"
"66.2291933, 19.451797999999975","66.32089979999954, 18.99745760000006"
"61.570517700000515, 13.577751799999923","61.417733399999975, 13.7916043"
"61.55265280000019, 13.86420159999998","61.43293640000004, 13.743637900000005"
"66.38037419999975, 19.292562599999947","66.29175439999997, 19.603889399999957"
"66.3356309999998, 19.515161599999978","66.14539190000009, 19.543307400000007"
"66.23697320000004, 19.513841299999967","66.37185379999976, 19.30758589999996"
"61.49722620000033, 13.834906600000004","61.55397969999993, 13.972201599999972"
"65.79744940000019, 21.636677499999973","65.69668860000002, 21.346978000000014"
"66.35500099999994, 19.341705900000008","66.48127529999968, 19.34445189999994"
"66.35175329999991, 19.191041500000004","66.27157229999999, 19.545721999999966"
"65.84447160000018, 21.77976669999999","65.71635089999982, 21.49628579999997"
"66.21669680000015, 19.304321200000043","66.3458785, 19.38303019999998"
"61.57040470000051, 13.819549199999935","61.4062644, 13.762561300000012"
"66.29818669999995, 19.520096999999954","66.40635539999973, 19.172181999999953"
"66.20564640000003, 19.273702299999968","66.17771909999996, 19.64132070000007"
"61.546879500000344, 13.817086000000003","61.386102900000175, 13.763036600000026"
"66.21015600000015, 19.261685800000038","66.17959289999996, 19.637813200000068"
"66.20415300000019, 19.573483700000036","66.37719279999979, 19.341071500000016"
"61.40290970000001, 13.743112100000008","61.583527100000495, 13.804522899999935"
"61.4314775, 13.78596410000001","61.58578890000049, 13.800315499999936"
"61.48326800000003, 13.796839900000004","61.594996200000494, 13.64586059999993"
"66.28458989999992, 19.259572899999956","66.41798599999976, 19.26471379999995"
"66.14022989999978, 19.65662999999999","66.26423030000007, 19.304318600000006"
"61.38280610000034, 13.715028000000006","61.493181300000344, 13.857705400000002"
"66.24303510000004, 19.375634600000005","66.33466330000074, 18.997163500000042"
"61.489742999999905, 13.676217099999988","61.5786596999999, 13.961589799999972"
"61.561978399999916, 13.964242799999973","61.49629440000032, 13.836462300000004"
"66.31192269999963, 19.505949099999903","66.41794639999975, 19.148091399999952"
"66.43628829999977, 19.24011249999995","66.29242549999996, 19.25083619999995"
"66.38150019999976, 19.238816599999968","66.22776959999995, 19.46463039999996"
"66.18677530000002, 19.696800600000014","66.24981419999996, 19.352960099999947"
"66.34116809999979, 19.521451799999976","66.48504759999969, 19.26136439999987"
"65.79970709999996, 21.685915699999995","65.67791609999992, 21.480733900000015"
"62.226466800000026, 17.557435100000014","62.42350530000024, 17.213597900000035"
"66.13776899999982, 23.148285899999994","66.19570379999996, 22.808383800000005"
"59.51390419999995, 18.28908230000007","59.31995120000002, 17.93753710000011"
"59.36179999999996, 18.503802499999953","59.26012129999977, 17.739166499999968"
"61.41454700000005, 14.04095499999998","61.52220900000054, 13.692248399999919"
"59.321988799999986, 18.621646500000043","59.4722458, 18.112430800000094"
"56.511199200000284, 16.596947100000005","56.782200899999914, 16.747384100000048"
"59.36705699999978, 14.82753939999997","59.2636206, 15.31318639999998"
"59.60591470000017, 18.14299550000001","59.2826797999998, 18.095017299999963"
"59.392837800000244, 18.25784039999996","59.19347700000007, 17.993494000000027"
"55.436451299999824, 13.979625900000087","55.367958899999884, 13.291269899999978"
"61.01562339999992, 14.419437599999966","61.011480500000005, 14.834422500000016"
"56.55473330000007, 16.6428068","56.37172970000049, 16.534307199999926"
"65.66094509999944, 21.678308300000054","65.90387999999982, 21.547675000000027"
