origin,destination
"46.16861679999993, 6.176402899999981","46.26524010000001, 6.206472199999985"
"47.200704899999934, 7.618094299999998","47.24476889999986, 7.450574600000004"
"46.137448499999905, 8.845013200000022","46.2343012, 9.08000040000002"
"46.210470899999976, 9.039368800000018","46.11997140000009, 8.782889900000034"
"46.56878360000008, 6.640824100000021","46.430474999999895, 6.909215199999945"
"46.93470780000007, 9.702435099999992","46.85735530000008, 9.916196700000004"
"47.31087280000001, 8.591424100000024","47.431699299999956, 8.58108570000001"
"46.59772529999994, 6.605674999999977","46.458998199999876, 6.842466900000002"
"46.32950169999997, 6.2018647","46.22252300000012, 6.017154500000004"
"46.15666650000024, 8.970889399999963","46.10756470000001, 8.769105200000048"
"46.01106400000013, 9.01193510000007","45.966060699999666, 8.899497700000047"
"47.124466299999995, 7.210878700000016","46.987852899999986, 6.875390300000001"
"47.312822700000105, 8.132719799999977","47.40287000000002, 8.083595299999974"
"47.39647860000014, 7.467712299999988","47.585685600000204, 7.6021845"
"47.0936723, 9.049012999999999","47.02222470000007, 8.90228350000003"
"46.43634450000015, 8.189786400000003","46.30611369999998, 7.949080700000003"
"47.55190159999988, 8.009884200000018","47.584589599999994, 7.657463600000013"
"47.24624580000007, 8.575474400000022","47.20210540000002, 8.896707699999999"
"47.45398549999988, 7.923100999999997","47.501270900000286, 7.590164000000008"
"46.48745589999999, 6.402733200000013","46.50408079999995, 6.669577899999971"
"46.958661999999904, 8.560043800000035","47.079860000000146, 8.257663500000039"
"47.036906900000226, 7.147496599999995","46.9212547000001, 6.8159944"
"46.693451100000075, 6.401290700000013","46.58826049999981, 6.190713999999999"
"46.514949599999795, 6.562511000000053","46.505904500000035, 6.654744200000002"
"47.5121164999997, 7.6535198000000335","47.55200780000014, 7.994346600000026"
"46.52432759999986, 6.629120299999988","46.51141159999987, 6.530507799999985"
"46.50298930000053, 6.854369899999966","46.31095390000001, 6.969159200000003"
"47.30621789999992, 7.810412400000007","47.360524899999945, 7.932783000000007"
"46.34009230000023, 6.206660599999962","46.27637540000033, 6.170443800000022"
"46.283678499999894, 8.669470900000032","46.16649750000002, 8.8936234"
"47.02720159999996, 8.949171600000023","47.09751420000009, 9.06369070000001"
"46.26411499999993, 6.166405799999983","46.205017199999794, 6.176577600000008"
"46.27833590000002, 6.137180600000008","46.15949920000016, 5.9780444000000035"
"46.19578410000008, 6.110710799999999","46.34496120000036, 6.190244899999991"
"47.50499810000004, 8.019742699999982","47.51257229999992, 7.588411499999964"
"47.12269920000002, 7.2666877999999935","46.99783079999998, 6.956125799999994"
"46.2142542000001, 6.136756599999952","46.196048699999984, 6.057393100000012"
"46.31970979999992, 6.197183400000005","46.223519700000026, 6.044453900000056"
