origin,destination
"42.809781000000015, -71.34307900000005","42.74023570000013, -71.51440260000001"
"42.86713830000002, -72.5161757999993","42.923086300000314, -72.3119868999995"
"44.996297199999866, -71.45218479999993","44.888986999999894, -71.35840899999994"
"42.74279130000002, -71.73111199999984","42.958907999999944, -71.80342899999951"
"42.84569299999997, -71.73252299999986","43.072961800000016, -71.81168249999996"
"44.91429400000009, -71.34272199999941","45.00751859999998, -71.50759140000056"
"43.08446300000029, -71.87580900000052","42.84946679999972, -71.8171159"
"42.955503000000306, -71.90516700000055","42.7624297, -71.73694630000007"
"44.54756700000004, -71.12006200000006","44.379623, -71.17344199999974"
"44.82349799999959, -71.40694400000021","44.960726999999814, -71.31108800000005"
"42.76548900000024, -71.73693900000035","42.95761820000005, -71.88382849999972"
"42.80902599999991, -71.70539999999988","43.04110499999999, -71.83309660000022"
"42.84763500000025, -72.52440200000011","43.04807700000016, -72.45729100000045"
"43.04176460000017, -72.4395401","42.80461399999994, -72.49741300000005"
"42.80400799999999, -71.7327969999998","42.977887900000255, -71.92353219999991"
"43.156772400000094, -71.4044583000001","43.0949209, -71.10285700000003"
"44.60721299999997, -71.51257200000008","44.76245499999989, -71.41296599999976"
"43.07688000000035, -71.81814599999981","42.85255899999997, -71.74287199999992"
"44.76106699999987, -71.42241799999974","44.5986094000001, -71.36841859999976"
"44.94991130000018, -71.32563049999982","44.99967899999971, -71.51566700000039"
"43.16928720000022, -71.32734069999972","43.067275000000016, -71.08398199999986"
"42.78963099999993, -71.7097199999999","43.010103400000126, -71.82084490000007"
"42.82756600000006, -71.74374800000017","43.061291000000054, -71.8280719999998"
"43.04445599999996, -72.41530300000012","42.82269500000043, -72.5075430000006"
"43.18081260000002, -71.33512200000011","43.05339329999987, -71.08945600000037"
"43.09715100000016, -71.0837179999998","43.148850899999886, -71.35901140000009"
"44.50583500000008, -71.15446499999983","44.67681999999998, -71.14849900000019"
"44.94854890000014, -71.30195599999983","44.84226199999999, -71.43601500000058"
"43.12634500000005, -71.13125599999987","43.1428542000001, -71.42355980000016"
"44.82219899999958, -71.41606600000021","44.95609099999982, -71.3220990000001"
"44.56521599999991, -71.16590000000006","44.377155999999964, -71.15717300000021"
"43.03311260000029, -71.84643080000059","42.8068158999999, -71.73309220000009"
"42.82556099999992, -72.50006000000036","43.05120100000003, -72.42915200000007"
"42.7579229999999, -71.76483900000018","42.94792599999976, -71.90369099999975"
"42.97850100000005, -72.383389","42.80708399999993, -72.49717500000003"
"43.10479079999986, -71.05469520000027","43.133721100000066, -71.34117150000027"
"44.59332699999989, -71.458398","44.761344999999956, -71.41583999999948"
"44.83361300000003, -71.44048100000003","44.960726999999814, -71.31108800000005"
"44.055135800000045, -72.02260629999995","44.27811499999996, -72.02316400000018"
"43.04679500000003, -72.42884400000011","42.82961, -72.510165"
"44.82326199999995, -71.44720200000043","44.953711999999804, -71.32187900000007"
"43.031169999999996, -72.40765900000015","42.81788699999975, -72.50164000000002"
"44.9964480000001, -71.52719699999936","44.95622309999983, -71.30786030000009"
"44.564711999999886, -71.12796200000003","44.397293000000026, -71.21967199999978"
"44.75464199999988, -71.42882499999976","44.59294650000014, -71.40764589999993"
"43.15162600000012, -71.37243300000013","43.107538700000326, -71.06346540000007"
"42.80724000000014, -72.51104700000036","43.010623700000124, -72.43433209999999"
"44.40049999999978, -71.24689300000016","44.54696500000005, -71.11811100000006"
"42.849512000000054, -71.817112","43.07758899999997, -71.8739129999998"
"44.60195600000007, -71.50204799999993","44.760832999999884, -71.41877599999974"
"42.84669299999988, -71.74259300000033","43.070131999999724, -71.86056200000027"
"43.03190999999998, -72.41241900000014","42.84335600000034, -72.50544700000044"
"43.02705260000029, -71.8427233000006","42.819817499999985, -71.72284769999996"
"43.02884400000004, -72.42479100000008","42.815771000000026, -72.50209500000008"
"43.0534070000002, -71.08915160000002","43.17774940000016, -71.33545359999995"
"44.94793920000015, -71.30497599999984","44.99631899999971, -71.5174800000004"
"44.99532800000006, -71.53355299999976","44.94981089999984, -71.31473170000018"
"42.73972000000008, -71.732381","42.94823040000003, -71.86477890000005"
"42.826038000000096, -72.51387800000008","43.02833799999978, -72.4126310000006"
"43.05604800000021, -71.86495499999997","42.82894909999999, -71.72768769999902"
"44.761344999999956, -71.41583999999948","44.597282000000064, -71.36738699999992"
"42.84485699999982, -72.52582500000003","43.05642399999988, -72.42484399999994"
"43.059932000000316, -71.86418100000057","42.84817320000029, -71.72978230000014"
"42.84511299999982, -72.52816200000002","43.03729200000004, -72.42577400000009"
"44.996792000000106, -71.52307399999933","44.94981089999984, -71.31473170000018"
"44.819353000000014, -71.43097300000014","44.94994400000018, -71.32529759999981"
"42.95342829999991, -71.8684220999998","42.748053899999924, -71.75218850000017"
"44.95555790000016, -71.30783559999972","44.82261200000001, -71.41968600000041"
"44.377337999999966, -71.15774900000021","44.565106999999905, -71.16394900000004"
"43.0927727000001, -71.10002419999978","43.15338299999961, -71.3735589999999"
"42.832195000000084, -72.50173999999971","43.05024900000006, -72.45950000000002"
"42.83230000000003, -71.74968399999968","43.054650000000215, -71.86778199999999"
"43.151429699999724, -71.40437180000035","43.107605400000075, -71.12415020000039"
"44.4021630000002, -71.2368844000001","44.560487999999886, -71.12344000000002"
"42.96889250000025, -71.92559669999989","42.81939200000009, -71.68043200000024"
"44.76399399999988, -71.41091499999975","44.603658, -71.40688100000003"
"44.913904000000095, -71.34288899999942","45.004200999999924, -71.51165699999939"
"42.78701089999993, -71.71131589999989","43.00541750000007, -71.81956949999977"
"43.07559000000012, -71.07846600000008","43.18690070000017, -71.35120199999983"
"43.05018900000006, -72.45949500000002","42.837298000000125, -72.5027220000004"
"44.59875650000011, -71.4397063999999","44.76245499999989, -71.41296599999976"
"43.08227200000035, -71.82516599999983","42.84923599999988, -71.74978100000035"
"43.89713949999996, -71.6216929000002","43.80898799999999, -71.36131799999995"
"44.95319909999983, -71.30750960000009","44.82261200000001, -71.41968600000041"
"44.56373199999989, -71.13764300000003","44.377155999999964, -71.15717300000021"
"43.033878999999985, -72.39360000000013","42.82514399999992, -72.50098800000035"
"44.76836300000002, -71.29871199999981","44.65890299999999, -71.14706900000017"
