origin,destination
"51.238448900000286, -1.9444312000000066","51.23431800000023, -1.7605006999999775"
"51.44998870000003, -0.4700664999999971","51.43497429999986, -0.288681099999999"
"51.64057219999998, -3.962142100000002","51.568942000000035, -3.9777434000000085"
"51.66216159999998, -3.9231894999999977","51.568038300000005, -4.006238700000009"
"51.23918310000007, -1.8788493999999965","51.26105299999984, -1.7279246999999995"
"53.449962800000115, -2.26003869999999","53.53926959999996, -2.2077007999999956"
"53.852276299999914, -1.6522819999999905","53.75110600000021, -1.9042941000000104"
"53.77434100000018, -1.8982025000000065","53.85581909999992, -1.6911426999999946"
"53.50797659999994, -2.095706699999999","53.43374629999968, -1.9526713000000036"
"51.56292599999995, -0.1155798999999988","51.55324730000021, -0.30270119999999245"
"50.91163459999996, -1.4058946999999977","50.842664900000074, -1.3010994999999992"
"50.6924481000001, -1.933447700000001","50.80755039999994, -1.9689419999999922"
"55.79699830000012, -4.3401813","55.762538200000385, -4.429087700000006"
"50.70114560000012, -1.921420399999995","50.76300789999991, -2.0125738000000024"
"51.63128310000002, -0.10229850000000275","51.52247410000013, -0.19708640000001365"
"51.382942099999916, -0.18641399999999542","51.39560239999971, -0.03516909999998542"
"51.34192210000013, -0.23165650000000323","51.350358900000046, -0.04402840000001001"
"53.82149680000015, -1.5015526000000003","53.81320600000006, -1.7370991999999958"
"51.52791860000002, -0.270818800000005","51.58767379999984, -0.14801160000000868"
"58.57324829999991, -4.845694899999996","58.6114888999999, -4.996785099999998"
"53.349094700000265, -3.0082906999999968","53.46376119999993, -3.0320573999999954"
"51.57799959999987, 0.7819470999999881","51.617368500000175, 0.9400345999999974"
"53.82020129999979, -1.8536732000000016","53.82621459999991, -1.5786047000000047"
"50.848590800000174, 0.4857266000000033","50.87978090000004, 0.6744641000000002"
"50.92422550000005, 0.9760389999999883","51.07382170000001, 1.1187869999999995"
"53.316022800000205, -2.9423980999999912","53.44028529999989, -2.996619700000006"
"51.33140399999996, 0.8033389999999938","51.370718799999985, 0.5895358"
"53.56618199999985, -2.2796764000000036","53.64896549999992, -2.1137847000000014"
